seed,mutation-id,attempt-id,compiler-1,compiler-2,fail-reason,return-code
00006.c.clean,0,0,gcc-12,gcc-11,timeout,
00006.c.clean,0,1,gcc-12,gcc-11,timeout,
00006.c.clean,0,2,gcc-12,gcc-11,timeout,
00006.c.clean,0,3,gcc-12,gcc-11,timeout,
00006.c.clean,0,4,gcc-12,gcc-11,timeout,
00006.c.clean,1,0,gcc-12,gcc-11,timeout,
00006.c.clean,1,1,gcc-12,gcc-11,timeout,
00006.c.clean,1,2,gcc-12,gcc-11,timeout,
00006.c.clean,1,3,gcc-12,gcc-11,timeout,
00006.c.clean,1,4,gcc-12,gcc-11,timeout,
00007.c.clean,0,0,gcc-12,gcc-11,timeout,
00007.c.clean,0,1,gcc-12,gcc-11,timeout,
00007.c.clean,0,2,gcc-12,gcc-11,timeout,
00007.c.clean,0,3,gcc-12,gcc-11,timeout,
00007.c.clean,0,4,gcc-12,gcc-11,timeout,
00007.c.clean,1,0,gcc-12,gcc-11,timeout,
00007.c.clean,1,1,gcc-12,gcc-11,timeout,
00007.c.clean,1,2,gcc-12,gcc-11,timeout,
00007.c.clean,1,3,gcc-12,gcc-11,timeout,
00007.c.clean,1,4,gcc-12,gcc-11,timeout,
00008.c.clean,0,0,gcc-12,gcc-11,timeout,
00008.c.clean,0,1,gcc-12,gcc-11,timeout,
00008.c.clean,0,2,gcc-12,gcc-11,timeout,
00008.c.clean,0,3,gcc-12,gcc-11,timeout,
00008.c.clean,0,4,gcc-12,gcc-11,timeout,
00008.c.clean,1,0,gcc-12,gcc-11,timeout,
00008.c.clean,1,1,gcc-12,gcc-11,timeout,
00008.c.clean,1,2,gcc-12,gcc-11,timeout,
00008.c.clean,1,3,gcc-12,gcc-11,timeout,
00008.c.clean,1,4,gcc-12,gcc-11,timeout,
