seed,mutation-id,compiler-1,compiler-2,attempts,assembly-diff
00001.c.clean,0,gcc-12,gcc-11,1,0
00001.c.clean,1,gcc-12,gcc-11,1,0
00002.c.clean,0,gcc-12,gcc-11,1,0
00002.c.clean,1,gcc-12,gcc-11,1,0
00003.c.clean,0,gcc-12,gcc-11,1,0
00003.c.clean,1,gcc-12,gcc-11,1,0
00004.c.clean,0,gcc-12,gcc-11,1,0
00004.c.clean,1,gcc-12,gcc-11,1,0
00005.c.clean,0,gcc-12,gcc-11,1,0
00005.c.clean,1,gcc-12,gcc-11,1,0
00006.c.clean,0,gcc-12,gcc-11,5,-1
00006.c.clean,1,gcc-12,gcc-11,5,-1
00007.c.clean,0,gcc-12,gcc-11,5,-1
00007.c.clean,1,gcc-12,gcc-11,5,-1
00008.c.clean,0,gcc-12,gcc-11,5,-1
00008.c.clean,1,gcc-12,gcc-11,5,-1
00009.c.clean,0,gcc-12,gcc-11,1,0
00009.c.clean,1,gcc-12,gcc-11,1,0
00010.c.clean,0,gcc-12,gcc-11,1,0
00010.c.clean,1,gcc-12,gcc-11,1,0
00011.c.clean,0,gcc-12,gcc-11,1,0
00011.c.clean,1,gcc-12,gcc-11,1,0
00012.c.clean,0,gcc-12,gcc-11,1,0
00012.c.clean,1,gcc-12,gcc-11,1,0
00013.c.clean,0,gcc-12,gcc-11,1,0
00013.c.clean,1,gcc-12,gcc-11,1,0
00014.c.clean,0,gcc-12,gcc-11,1,0
00014.c.clean,1,gcc-12,gcc-11,1,0
00015.c.clean,0,gcc-12,gcc-11,3,0
00015.c.clean,1,gcc-12,gcc-11,2,0
00016.c.clean,0,gcc-12,gcc-11,1,0
00016.c.clean,1,gcc-12,gcc-11,1,0
00017.c.clean,0,gcc-12,gcc-11,1,0
00017.c.clean,1,gcc-12,gcc-11,1,0
00018.c.clean,0,gcc-12,gcc-11,1,0
00018.c.clean,1,gcc-12,gcc-11,1,0
00019.c.clean,0,gcc-12,gcc-11,1,0
