seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,8.11
00002.c.clean,32,32,0.0,8.67
00003.c.clean,32,32,0.0,8.9
00004.c.clean,32,32,0.0,9.03
00005.c.clean,32,32,0.0,9.1
00006.c.clean,32,0,,42.58
00007.c.clean,32,0,,47.34
00008.c.clean,32,0,,29.54
00009.c.clean,32,31,0.0,8.77
00010.c.clean,32,32,0.0,8.81
00011.c.clean,32,32,0.0,9.0
00012.c.clean,32,32,0.0,8.91
00013.c.clean,32,29,0.0,8.95
00014.c.clean,32,28,0.0,8.76
00015.c.clean,32,4,0.0,2.52
00016.c.clean,32,12,0.0,4.72
00017.c.clean,32,32,0.0,9.08
00018.c.clean,32,32,0.0,9.17
00019.c.clean,32,32,0.0,9.08
00020.c.clean,32,32,0.0,9.27
00021.c.clean,32,32,0.0,9.19
00022.c.clean,32,32,0.0,9.04
00023.c.clean,32,32,0.0,9.53
00024.c.clean,32,32,0.0,9.29
00025.c.clean,32,0,,1.54
00026.c.clean,32,25,0.0,9.0
00027.c.clean,32,32,0.0,9.02
00028.c.clean,32,32,0.0,9.03
00029.c.clean,32,32,0.0,9.26
00030.c.clean,32,32,0.0,9.0
00031.c.clean,32,32,0.0,9.02
00032.c.clean,32,3,0.0,2.3
00033.c.clean,32,32,0.0,9.22
00034.c.clean,32,0,,49.81
00035.c.clean,32,0,,1.53
00036.c.clean,32,32,0.0,9.1
00037.c.clean,32,6,0.0,3.06
00038.c.clean,32,32,0.0,8.96
00039.c.clean,32,32,0.0,9.5
00041.c.clean,32,32,0.0,9.24
00042.c.clean,32,32,0.0,9.1
00043.c.clean,32,32,0.0,9.86
00044.c.clean,32,32,0.0,9.32
00045.c.clean,32,32,0.0,9.19
00046.c.clean,32,32,0.0,9.31
00047.c.clean,32,32,0.0,9.48
00048.c.clean,32,32,0.0,9.23
00049.c.clean,32,32,0.0,9.2
00050.c.clean,32,32,0.0,9.29
00051.c.clean,32,32,0.0,9.12
00052.c.clean,32,32,0.0,8.96
00053.c.clean,32,32,0.0,8.74
00054.c.clean,32,32,0.0,8.71
00055.c.clean,32,32,0.0,8.26
00057.c.clean,32,32,0.0,8.85
00058.c.clean,32,24,0.0,8.51
00059.c.clean,32,32,0.0,7.7
00060.c.clean,32,32,0.0,7.85
00061.c.clean,32,32,0.0,7.51
00062.c.clean,32,32,0.0,8.89
00063.c.clean,32,32,0.0,9.13
00064.c.clean,32,32,0.0,8.93
00065.c.clean,32,32,0.0,7.93
00066.c.clean,32,32,0.0,7.63
00067.c.clean,32,32,0.0,9.01
00068.c.clean,32,32,0.0,9.02
00069.c.clean,32,32,0.0,9.01
00070.c.clean,32,32,0.0,9.12
00071.c.clean,32,32,0.0,7.12
00072.c.clean,32,9,0.0,4.35
00073.c.clean,32,6,0.0,2.99
00074.c.clean,32,32,0.0,8.7
00075.c.clean,32,32,0.0,7.24
00076.c.clean,32,32,0.0,8.05
