seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.05
00002.c.clean,32,32,0.0,4.5
00003.c.clean,32,32,0.0,6.25
00004.c.clean,32,32,0.0,6.09
00005.c.clean,32,32,0.0,6.08
00006.c.clean,32,2,0.0,12.48
00007.c.clean,32,0,,12.91
00008.c.clean,32,2,0.0,12.01
00009.c.clean,32,22,0.0,6.87
00010.c.clean,32,32,0.0,4.53
00011.c.clean,32,32,0.0,4.71
00012.c.clean,32,32,0.0,5.1
00013.c.clean,32,29,0.0,5.13
00014.c.clean,32,27,0.0,4.89
00015.c.clean,32,9,0.0,1.89
00016.c.clean,32,13,0.0,2.48
00017.c.clean,32,32,0.0,5.1
00018.c.clean,32,32,0.0,5.13
00019.c.clean,32,32,0.0,5.12
00020.c.clean,32,32,0.0,5.14
00021.c.clean,32,32,0.0,5.07
00022.c.clean,32,32,0.0,4.86
00023.c.clean,32,32,0.0,4.82
00024.c.clean,32,32,0.0,5.28
00025.c.clean,32,0,,0.76
00026.c.clean,32,27,0.0,5.15
00027.c.clean,32,32,0.0,5.19
00028.c.clean,32,32,0.0,5.05
00029.c.clean,32,32,0.0,5.1
00030.c.clean,32,32,0.0,5.06
00031.c.clean,32,32,0.0,5.02
00032.c.clean,32,4,0.0,1.4
00033.c.clean,32,32,0.0,5.15
00034.c.clean,32,0,,12.89
00035.c.clean,32,0,,0.75
00036.c.clean,32,32,0.0,5.06
00037.c.clean,32,5,0.0,1.86
00038.c.clean,32,32,0.0,4.01
00039.c.clean,32,32,0.0,5.15
00041.c.clean,32,32,0.0,5.08
00042.c.clean,32,32,0.0,5.03
00043.c.clean,32,32,0.0,5.12
00044.c.clean,32,32,0.0,5.11
00045.c.clean,32,32,0.0,5.02
00046.c.clean,32,32,0.0,5.13
00047.c.clean,32,32,0.0,5.07
00048.c.clean,32,32,0.0,5.15
00049.c.clean,32,32,0.0,5.11
00050.c.clean,32,32,0.0,5.07
00051.c.clean,32,30,0.0,4.75
00052.c.clean,32,32,0.0,4.23
00053.c.clean,32,32,0.0,5.08
00054.c.clean,32,32,0.0,4.0
00055.c.clean,32,32,0.0,4.17
00057.c.clean,32,32,0.0,5.12
00058.c.clean,32,23,0.0,5.13
00059.c.clean,32,32,0.0,3.78
00060.c.clean,32,32,0.0,3.48
00061.c.clean,32,32,0.0,4.0
00062.c.clean,32,32,0.0,5.14
00063.c.clean,32,32,0.0,5.11
00064.c.clean,32,32,0.0,4.95
00065.c.clean,32,32,0.0,4.09
00066.c.clean,32,32,0.0,3.51
00067.c.clean,32,32,0.0,5.14
00068.c.clean,32,32,0.0,5.11
00069.c.clean,32,32,0.0,5.23
00070.c.clean,32,32,0.0,5.11
00071.c.clean,32,32,0.0,3.65
00072.c.clean,32,13,0.0,2.85
00073.c.clean,33,8,0.0,1.86
00074.c.clean,32,32,0.0,5.06
00075.c.clean,32,32,0.0,3.69
00076.c.clean,32,32,0.0,3.76
00077.c.clean,32,0,,0.83
00078.c.clean,32,32,0.0,5.08
00079.c.clean,32,32,0.0,5.12
00080.c.clean,32,32,0.0,4.49
00081.c.clean,32,32,0.0,5.1
00082.c.clean,32,32,0.0,5.06
00083.c.clean,32,32,0.0,5.14
00084.c.clean,32,32,0.0,5.13
00085.c.clean,32,32,0.0,3.36
00086.c.clean,32,32,0.0,4.99
00087.c.clean,32,32,0.0,4.86
00088.c.clean,32,0,,0.77
00089.c.clean,32,32,0.0,5.17
00090.c.clean,32,11,0.0,2.12
00091.c.clean,32,4,0.0,1.26
00092.c.clean,32,32,0.0,5.08
00093.c.clean,32,32,0.0,5.06
00094.c.clean,32,32,0.0,3.6
00095.c.clean,32,32,0.0,5.24
00096.c.clean,32,32,0.0,5.11
00097.c.clean,32,32,0.0,3.55
00098.c.clean,32,32,0.0,3.49
00099.c.clean,32,32,0.0,3.66
00100.c.clean,32,32,0.0,4.43
00101.c.clean,32,0,,12.9
00102.c.clean,32,3,0.0,3.8
00103.c.clean,32,32,0.0,5.08
00105.c.clean,32,32,0.0,5.02
00106.c.clean,32,32,0.0,5.03
00107.c.clean,32,32,0.0,5.12
00108.c.clean,32,32,0.0,3.6
00109.c.clean,32,32,0.0,5.04
00110.c.clean,32,32,0.0,3.56
00111.c.clean,32,32,0.0,5.07
00112.c.clean,32,1,0.0,1.24
00113.c.clean,32,32,0.0,5.08
00114.c.clean,32,32,0.0,3.98
00115.c.clean,32,0,,0.83
00116.c.clean,32,32,0.0,6.22
00117.c.clean,32,0,,0.8
00118.c.clean,32,32,0.0,6.14
00119.c.clean,32,32,0.0,6.04
