seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,128,128,0.0,21.75
00002.c.clean,128,128,0.0,21.46
00003.c.clean,128,128,0.0,22.53
00004.c.clean,128,128,0.0,22.17
00005.c.clean,128,128,0.0,21.91
00006.c.clean,128,0,,27.35
00007.c.clean,128,0,,27.7
00008.c.clean,128,0,,27.94
00009.c.clean,128,0,,21.59
00010.c.clean,128,128,0.0,22.54
00011.c.clean,128,128,0.0,22.34
00012.c.clean,139,0,,5.36
00013.c.clean,128,119,0.0,21.96
00014.c.clean,128,115,0.0,23.09
00015.c.clean,136,22,0.0,7.63
00016.c.clean,134,44,0.0,8.87
00017.c.clean,128,108,0.0,22.25
00018.c.clean,128,62,0.0,21.82
00019.c.clean,128,128,0.0,21.46
00020.c.clean,128,128,0.0,23.35
00021.c.clean,128,65,0.0,22.51
00022.c.clean,128,128,0.0,22.07
00023.c.clean,128,128,0.0,21.61
00024.c.clean,128,100,0.0,21.79
00025.c.clean,139,0,,5.68
00026.c.clean,128,104,0.0,22.02
00027.c.clean,128,128,0.0,22.47
00028.c.clean,128,128,0.0,22.03
00029.c.clean,128,128,0.0,21.83
00030.c.clean,128,128,0.0,21.04
00031.c.clean,128,128,0.0,22.41
00032.c.clean,136,21,0.0,6.97
00033.c.clean,128,128,0.0,21.2
00034.c.clean,128,0,,27.5
00035.c.clean,139,0,,5.67
00036.c.clean,128,14,0.0,23.11
00037.c.clean,131,0,,8.31
00038.c.clean,128,94,0.0,24.5
00039.c.clean,128,107,0.0,25.02
00041.c.clean,128,72,0.0,21.97
00042.c.clean,128,128,0.0,21.64
00043.c.clean,128,27,0.0,21.61
00044.c.clean,128,128,0.0,22.86
00045.c.clean,128,128,0.0,22.12
00046.c.clean,128,128,0.0,23.12
00047.c.clean,128,128,0.0,22.06
00048.c.clean,128,128,0.0,22.14
00049.c.clean,128,128,0.0,21.73
00050.c.clean,128,128,0.0,22.55
00051.c.clean,128,59,0.0,10.53
00052.c.clean,128,128,0.0,22.01
00053.c.clean,128,128,0.0,21.52
00054.c.clean,128,128,0.0,22.01
00055.c.clean,128,128,0.0,22.56
00057.c.clean,128,128,0.0,23.93
00058.c.clean,139,0,,5.44
00059.c.clean,128,128,0.0,22.48
00060.c.clean,128,128,0.0,21.89
00061.c.clean,128,128,0.0,22.87
00062.c.clean,128,128,0.0,22.16
00063.c.clean,128,128,0.0,21.97
00064.c.clean,128,111,0.0,22.73
00065.c.clean,128,54,0.0,12.99
00066.c.clean,138,5,0.0,5.66
00067.c.clean,128,49,0.0,25.66
00068.c.clean,128,103,0.0,23.45
00069.c.clean,128,128,0.0,21.66
00070.c.clean,128,128,0.0,21.41
00071.c.clean,128,128,0.0,21.87
00072.c.clean,132,0,,8.22
00073.c.clean,131,0,,8.45
00074.c.clean,128,128,0.0,22.87
00075.c.clean,128,104,0.0,23.84
00076.c.clean,128,102,0.0,24.43
00077.c.clean,139,0,,5.82
00078.c.clean,139,0,,5.5
00079.c.clean,128,51,0.0,22.99
00080.c.clean,128,128,0.0,21.75
00081.c.clean,128,128,0.0,21.43
00082.c.clean,128,128,0.0,21.6
00083.c.clean,128,128,0.0,21.94
00084.c.clean,128,128,0.0,22.41
00085.c.clean,128,128,0.0,21.23
00086.c.clean,139,0,,5.39
00087.c.clean,128,128,0.0,21.21
00088.c.clean,139,0,,5.43
00089.c.clean,128,128,0.0,21.86
00090.c.clean,134,29,0.0,7.49
00091.c.clean,128,64,0.0,11.28
00092.c.clean,128,126,0.0,21.06
00093.c.clean,128,128,0.0,22.16
00094.c.clean,128,128,0.0,21.8
00095.c.clean,128,128,0.0,21.58
00096.c.clean,128,128,0.0,21.84
00097.c.clean,128,128,0.0,21.34
00098.c.clean,128,128,0.0,14.35
00099.c.clean,128,128,0.0,21.39
00100.c.clean,128,128,0.0,21.7
00101.c.clean,128,0,,27.59
00102.c.clean,139,0,,5.35
00103.c.clean,128,128,0.0,21.89
00105.c.clean,128,94,0.0,22.15
00106.c.clean,128,128,0.0,23.02
00107.c.clean,128,128,0.0,21.31
00108.c.clean,128,128,0.0,21.81
00109.c.clean,128,128,0.0,21.54
00110.c.clean,133,133,0.0,15.21
00111.c.clean,139,0,,5.8
00112.c.clean,139,0,,5.41
00113.c.clean,128,64,0.0,21.59
00114.c.clean,128,128,0.0,22.53
00115.c.clean,139,0,,5.7
00116.c.clean,128,128,0.0,21.78
00117.c.clean,139,4,0.0,6.03
00118.c.clean,128,128,0.0,21.34
00119.c.clean,128,128,0.0,21.07
00120.c.clean,131,131,0.0,14.99
00121.c.clean,128,128,0.0,21.79
00122.c.clean,128,128,0.0,21.81
00123.c.clean,128,128,0.0,21.57
00124.c.clean,139,0,,5.41
00126.c.clean,128,128,0.0,20.94
00127.c.clean,128,128,0.0,21.25
00128.c.clean,128,128,0.0,21.35
00130.c.clean,139,0,,5.52
00133.c.clean,135,31,0.0,7.92
00134.c.clean,138,0,,6.27
00135.c.clean,128,106,0.0,22.74
00136.c.clean,128,96,0.0,23.68
00137.c.clean,128,88,0.0,23.94
00138.c.clean,128,82,0.0,22.97
00139.c.clean,128,0,,20.96
00140.c.clean,128,43,0.0,21.52
00141.c.clean,128,128,0.0,22.22
00142.c.clean,132,132,0.0,15.13
00143.c.clean,139,0,,5.94
00144.c.clean,139,0,,5.46
00145.c.clean,128,128,0.0,22.3
00146.c.clean,128,128,0.0,21.57
00147.c.clean,139,16,0.0,6.54
00148.c.clean,138,25,0.0,6.99
00149.c.clean,128,128,0.0,21.5
00150.c.clean,129,60,0.0,10.03
00151.c.clean,140,0,,5.12
00152.c.clean,128,128,0.0,21.87
00153.c.clean,128,128,0.0,22.2
00155.c.clean,139,0,,5.6
00209.c.clean,128,128,0.0,21.72
00211.c.clean,128,73,0.0,12.48
00214.c.clean,139,0,,5.57
00217.c.clean,128,1,0.0,21.48
00218.c.clean,140,0,,5.09
