seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.81
00002.c.clean,32,32,0.0,4.96
00003.c.clean,32,32,0.0,4.93
00004.c.clean,32,32,0.0,4.98
00005.c.clean,32,32,0.0,5.21
00006.c.clean,32,0,,7.29
00007.c.clean,32,0,,7.35
00008.c.clean,32,0,,7.37
00009.c.clean,32,0,,4.71
00010.c.clean,32,32,0.0,4.92
00011.c.clean,32,32,0.0,4.9
00012.c.clean,43,0,,1.73
00013.c.clean,32,30,0.0,4.93
00014.c.clean,32,30,0.0,5.09
00015.c.clean,41,9,0.0,2.27
00016.c.clean,34,15,0.0,2.88
00017.c.clean,32,25,0.0,5.37
00018.c.clean,32,20,0.0,5.03
00019.c.clean,32,32,0.0,5.11
00020.c.clean,32,32,0.0,4.85
00021.c.clean,32,16,0.0,4.67
00022.c.clean,32,32,0.0,4.97
00023.c.clean,32,32,0.0,5.23
00024.c.clean,32,27,0.0,5.18
00025.c.clean,43,0,,1.84
00026.c.clean,32,24,0.0,5.02
00027.c.clean,32,32,0.0,4.91
00028.c.clean,32,32,0.0,4.9
00029.c.clean,32,32,0.0,4.82
00030.c.clean,32,32,0.0,4.99
00031.c.clean,32,32,0.0,4.93
00032.c.clean,42,5,0.0,2.33
00033.c.clean,32,32,0.0,4.86
00034.c.clean,32,0,,7.62
00035.c.clean,42,0,,1.68
00036.c.clean,32,9,0.0,4.61
00037.c.clean,40,0,,2.03
00038.c.clean,32,32,0.0,4.85
00039.c.clean,32,32,0.0,4.83
00041.c.clean,37,23,0.0,7.19
00042.c.clean,32,32,0.0,4.91
00043.c.clean,32,1,0.0,5.05
00044.c.clean,32,32,0.0,5.13
00045.c.clean,32,32,0.0,5.17
00046.c.clean,32,32,0.0,4.92
00047.c.clean,32,32,0.0,4.91
00048.c.clean,32,32,0.0,4.89
00049.c.clean,32,32,0.0,4.94
00050.c.clean,32,32,0.0,4.84
00051.c.clean,34,16,0.0,2.7
00052.c.clean,32,32,0.0,4.87
00053.c.clean,32,32,0.0,5.25
00054.c.clean,32,32,0.0,4.86
00055.c.clean,32,32,0.0,4.92
00057.c.clean,32,32,0.0,4.92
00058.c.clean,42,0,,1.71
00059.c.clean,32,32,0.0,4.88
00060.c.clean,32,32,0.0,4.91
00061.c.clean,32,32,0.0,4.97
00062.c.clean,32,32,0.0,4.92
00063.c.clean,32,32,0.0,4.87
00064.c.clean,32,32,0.0,4.92
00065.c.clean,35,15,0.0,2.61
00066.c.clean,43,1,0.0,1.77
00067.c.clean,32,32,0.0,4.96
00068.c.clean,32,32,0.0,4.92
00069.c.clean,32,32,0.0,5.03
00070.c.clean,32,32,0.0,5.03
00071.c.clean,32,32,0.0,5.14
00072.c.clean,35,0,,2.84
00073.c.clean,39,0,,2.64
00074.c.clean,32,32,0.0,5.45
00075.c.clean,32,32,0.0,5.53
00076.c.clean,32,32,0.0,4.86
00077.c.clean,42,0,,1.67
00078.c.clean,43,0,,1.77
00079.c.clean,32,16,0.0,4.7
00080.c.clean,32,32,0.0,4.82
00081.c.clean,32,32,0.0,5.13
00082.c.clean,32,32,0.0,5.31
00083.c.clean,32,32,0.0,5.24
00084.c.clean,32,32,0.0,4.98
00085.c.clean,32,32,0.0,4.87
00086.c.clean,43,0,,1.64
00087.c.clean,32,32,0.0,4.86
00088.c.clean,43,0,,1.64
