seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,5.16
00002.c.clean,32,32,0.0,5.05
00003.c.clean,32,32,0.0,5.14
00004.c.clean,32,32,0.0,4.89
00005.c.clean,32,32,0.0,4.84
00006.c.clean,33,0,,13.24
00007.c.clean,32,0,,13.25
00008.c.clean,32,0,,13.25
00009.c.clean,32,0,,4.61
00010.c.clean,32,32,0.0,4.9
00011.c.clean,32,32,0.0,4.92
00012.c.clean,35,0,,1.33
00013.c.clean,32,31,0.0,4.9
00014.c.clean,32,27,0.0,5.08
00015.c.clean,32,31,0.0,5.25
00016.c.clean,32,32,0.0,5.3
00017.c.clean,32,24,0.0,4.98
00018.c.clean,32,18,0.0,4.76
00019.c.clean,32,32,0.0,4.84
00020.c.clean,32,32,0.0,4.96
00021.c.clean,32,17,0.0,4.91
00022.c.clean,32,32,0.0,4.83
00023.c.clean,32,32,0.0,4.93
00024.c.clean,32,27,0.0,4.87
00025.c.clean,35,0,,1.37
00026.c.clean,32,25,0.0,4.64
00027.c.clean,32,32,0.0,4.93
00028.c.clean,32,32,0.0,4.92
00029.c.clean,32,32,0.0,4.93
00030.c.clean,32,32,0.0,4.9
00031.c.clean,32,32,0.0,4.95
00032.c.clean,32,32,0.0,4.89
00033.c.clean,32,32,0.0,4.9
00034.c.clean,32,0,,13.22
00035.c.clean,35,0,,1.51
00036.c.clean,32,5,0.0,4.76
00037.c.clean,32,0,,4.79
00038.c.clean,32,32,0.0,5.06
00039.c.clean,32,32,0.0,4.97
00041.c.clean,32,14,0.0,10.82
00042.c.clean,32,32,0.0,5.0
00043.c.clean,32,2,0.0,4.8
00044.c.clean,32,32,0.0,5.1
00045.c.clean,32,32,0.0,5.23
00046.c.clean,32,32,0.0,5.17
00047.c.clean,32,32,0.0,5.17
00048.c.clean,32,32,0.0,5.14
00049.c.clean,32,32,0.0,4.96
00050.c.clean,32,32,0.0,4.87
00051.c.clean,32,18,0.0,3.33
00052.c.clean,32,32,0.0,4.94
00053.c.clean,32,32,0.0,4.85
00054.c.clean,32,32,0.0,4.82
00055.c.clean,32,32,0.0,4.97
00057.c.clean,32,32,0.0,4.9
00058.c.clean,35,0,,1.54
00059.c.clean,32,32,0.0,4.9
00060.c.clean,32,32,0.0,4.97
00061.c.clean,32,32,0.0,5.09
00062.c.clean,32,32,0.0,5.35
00063.c.clean,32,32,0.0,5.1
00064.c.clean,32,32,0.0,5.17
00065.c.clean,32,17,0.0,3.18
00066.c.clean,33,4,0.0,1.7
00067.c.clean,32,32,0.0,5.08
00068.c.clean,32,32,0.0,5.31
00069.c.clean,32,32,0.0,4.86
00070.c.clean,32,32,0.0,4.97
00071.c.clean,32,32,0.0,4.97
00072.c.clean,32,0,,4.92
00073.c.clean,32,1,0.0,4.78
00074.c.clean,32,32,0.0,5.18
00075.c.clean,32,32,0.0,5.22
00076.c.clean,32,32,0.0,5.19
00077.c.clean,34,0,,1.38
00078.c.clean,34,0,,1.48
00079.c.clean,32,15,0.0,5.1
00080.c.clean,32,32,0.0,4.89
00081.c.clean,32,32,0.0,4.89
00082.c.clean,32,32,0.0,5.06
00083.c.clean,32,32,0.0,5.02
00084.c.clean,32,32,0.0,5.02
00085.c.clean,32,32,0.0,5.24
00086.c.clean,35,0,,1.34
00087.c.clean,32,32,0.0,5.13
00088.c.clean,35,0,,1.34
00089.c.clean,32,32,0.0,5.21
00090.c.clean,32,31,0.0,5.08
00091.c.clean,32,32,0.0,5.1
00092.c.clean,32,32,0.0,5.12
00093.c.clean,32,32,0.0,5.13
00094.c.clean,32,32,0.0,4.88
00095.c.clean,32,32,0.0,4.8
00096.c.clean,32,32,0.0,4.89
00097.c.clean,32,32,0.0,4.83
00098.c.clean,32,32,0.0,3.67
00099.c.clean,32,32,0.0,4.78
00100.c.clean,32,32,0.0,4.79
00101.c.clean,32,0,,13.22
00102.c.clean,35,0,,1.34
00103.c.clean,32,32,0.0,4.77
00105.c.clean,32,31,0.0,7.46
00106.c.clean,32,32,0.0,4.82
00107.c.clean,32,32,0.0,4.8
00108.c.clean,32,32,0.0,4.95
00109.c.clean,32,32,0.0,4.91
00110.c.clean,32,32,0.0,3.75
00111.c.clean,35,0,,1.42
00112.c.clean,35,0,,1.35
00113.c.clean,32,17,0.0,5.1
00114.c.clean,32,32,0.0,4.92
00115.c.clean,35,0,,1.51
00116.c.clean,32,32,0.0,4.88
00117.c.clean,35,0,,1.42
00118.c.clean,32,32,0.0,4.91
00119.c.clean,32,32,0.0,4.8
00120.c.clean,32,32,0.0,4.15
00121.c.clean,32,32,0.0,4.85
00122.c.clean,32,32,0.0,4.84
00123.c.clean,32,32,0.0,4.83
00124.c.clean,35,0,,1.35
00126.c.clean,32,32,0.0,4.81
00127.c.clean,32,32,0.0,4.91
00128.c.clean,32,32,0.0,5.05
00130.c.clean,35,0,,1.53
00133.c.clean,32,11,0.0,2.31
00134.c.clean,35,0,,1.43
00135.c.clean,32,32,0.0,4.96
00136.c.clean,32,32,0.0,5.37
00137.c.clean,32,32,0.0,5.18
00138.c.clean,32,21,0.0,5.29
00139.c.clean,32,0,,4.78
00140.c.clean,32,13,0.0,4.72
00141.c.clean,32,32,0.0,4.9
00142.c.clean,32,32,0.0,4.05
00143.c.clean,35,0,,1.42
00144.c.clean,35,0,,1.36
00145.c.clean,32,32,0.0,4.89
00146.c.clean,32,32,0.0,4.84
00147.c.clean,32,8,0.0,1.95
00148.c.clean,32,16,0.0,2.69
00149.c.clean,32,32,0.0,4.91
00150.c.clean,32,18,0.0,2.94
00151.c.clean,36,0,,1.3
00152.c.clean,32,32,0.0,4.86
00153.c.clean,32,32,0.0,4.9
00155.c.clean,35,0,,1.4
00209.c.clean,32,32,0.0,4.88
00211.c.clean,32,16,0.0,2.85
00214.c.clean,34,0,,1.48
00217.c.clean,32,0,,4.9
00218.c.clean,36,0,,1.29
