seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.98
00002.c.clean,32,32,0.0,4.89
00003.c.clean,32,32,0.0,4.98
00004.c.clean,32,32,0.0,4.95
00005.c.clean,32,32,0.0,4.91
00006.c.clean,32,0,,13.29
00007.c.clean,32,0,,13.23
00008.c.clean,32,0,,13.21
00009.c.clean,32,0,,5.0
00010.c.clean,32,32,0.0,5.06
00011.c.clean,32,32,0.0,4.88
00012.c.clean,35,0,,1.34
00013.c.clean,32,31,0.0,4.81
00014.c.clean,32,30,0.0,4.83
00015.c.clean,32,5,0.0,1.83
00016.c.clean,32,11,0.0,2.35
00017.c.clean,32,26,0.0,5.04
00018.c.clean,32,16,0.0,4.88
00019.c.clean,32,32,0.0,4.99
00020.c.clean,32,32,0.0,4.87
00021.c.clean,32,20,0.0,5.02
00022.c.clean,32,32,0.0,4.86
00023.c.clean,32,32,0.0,4.8
00024.c.clean,32,26,0.0,4.8
00025.c.clean,35,0,,1.43
00026.c.clean,32,25,0.0,4.92
00027.c.clean,32,32,0.0,5.17
00028.c.clean,32,32,0.0,5.06
00029.c.clean,32,32,0.0,5.15
00030.c.clean,32,32,0.0,4.89
00031.c.clean,32,32,0.0,4.98
00032.c.clean,33,2,0.0,1.7
00033.c.clean,32,32,0.0,4.89
00034.c.clean,32,0,,13.26
00035.c.clean,35,0,,1.35
00036.c.clean,32,5,0.0,4.63
00037.c.clean,34,0,,1.76
00038.c.clean,32,32,0.0,4.76
00039.c.clean,32,32,0.0,5.01
00041.c.clean,32,17,0.0,9.85
00042.c.clean,32,32,0.0,4.87
00043.c.clean,32,9,0.0,5.04
00044.c.clean,32,32,0.0,5.22
00045.c.clean,32,32,0.0,5.16
00046.c.clean,32,32,0.0,5.01
00047.c.clean,32,32,0.0,4.89
00048.c.clean,32,32,0.0,4.84
00049.c.clean,32,32,0.0,4.95
00050.c.clean,32,32,0.0,5.0
00051.c.clean,32,16,0.0,2.83
00052.c.clean,32,32,0.0,4.99
00053.c.clean,32,32,0.0,5.02
00054.c.clean,32,32,0.0,5.21
00055.c.clean,32,32,0.0,4.85
00057.c.clean,32,32,0.0,5.18
00058.c.clean,35,0,,1.38
00059.c.clean,32,32,0.0,5.19
00060.c.clean,32,32,0.0,5.24
00061.c.clean,32,32,0.0,5.01
00062.c.clean,32,32,0.0,4.9
00063.c.clean,32,32,0.0,4.89
00064.c.clean,32,32,0.0,4.94
00065.c.clean,32,16,0.0,2.89
00066.c.clean,35,0,,1.49
00067.c.clean,32,32,0.0,4.93
00068.c.clean,32,32,0.0,4.88
00069.c.clean,32,32,0.0,4.93
00070.c.clean,32,32,0.0,4.89
00071.c.clean,32,32,0.0,4.86
00072.c.clean,32,0,,2.26
00073.c.clean,32,1,0.0,1.94
00074.c.clean,32,32,0.0,4.96
00075.c.clean,32,32,0.0,5.14
00076.c.clean,32,32,0.0,5.06
00077.c.clean,34,0,,1.35
00078.c.clean,35,0,,1.39
00079.c.clean,32,14,0.0,4.87
00080.c.clean,32,32,0.0,4.85
00081.c.clean,32,32,0.0,4.9
00082.c.clean,32,32,0.0,4.95
00083.c.clean,32,32,0.0,4.96
00084.c.clean,32,32,0.0,4.93
00085.c.clean,32,32,0.0,4.98
00086.c.clean,35,0,,1.37
00087.c.clean,32,32,0.0,4.95
00088.c.clean,35,0,,1.43
00089.c.clean,32,32,0.0,5.02
00090.c.clean,34,7,0.0,2.18
00091.c.clean,32,12,0.0,2.87
00092.c.clean,32,31,0.0,5.03
00093.c.clean,32,32,0.0,5.15
00094.c.clean,32,32,0.0,5.03
00095.c.clean,32,32,0.0,4.92
00096.c.clean,32,32,0.0,4.82
00097.c.clean,32,32,0.0,4.9
00098.c.clean,32,32,0.0,3.62
00099.c.clean,32,32,0.0,4.84
00100.c.clean,32,32,0.0,4.85
00101.c.clean,32,0,,13.21
00102.c.clean,35,0,,1.35
00103.c.clean,32,32,0.0,4.96
00105.c.clean,32,32,0.0,6.26
00106.c.clean,32,32,0.0,4.91
00107.c.clean,32,32,0.0,4.94
00108.c.clean,32,32,0.0,4.91
00109.c.clean,32,32,0.0,4.89
00110.c.clean,32,32,0.0,3.77
00111.c.clean,35,0,,1.38
00112.c.clean,35,0,,1.35
00113.c.clean,32,13,0.0,5.23
00114.c.clean,32,32,0.0,5.02
00115.c.clean,34,0,,1.44
00116.c.clean,32,32,0.0,4.92
00117.c.clean,34,1,0.0,1.39
00118.c.clean,32,32,0.0,4.83
00119.c.clean,32,32,0.0,5.15
00120.c.clean,32,32,0.0,3.85
00121.c.clean,32,32,0.0,5.32
00122.c.clean,32,32,0.0,5.05
00123.c.clean,32,32,0.0,4.82
00124.c.clean,34,0,,1.32
00126.c.clean,32,32,0.0,4.87
00127.c.clean,32,32,0.0,4.91
00128.c.clean,32,32,0.0,4.95
00130.c.clean,34,0,,1.49
00133.c.clean,32,7,0.0,1.87
00134.c.clean,35,0,,1.37
00135.c.clean,32,32,0.0,4.87
00136.c.clean,32,32,0.0,4.9
00137.c.clean,32,32,0.0,4.79
00138.c.clean,32,24,0.0,4.82
00139.c.clean,32,0,,4.6
00140.c.clean,32,9,0.0,4.63
00141.c.clean,32,32,0.0,4.9
00142.c.clean,32,32,0.0,4.01
00143.c.clean,34,0,,1.38
00144.c.clean,35,0,,1.42
00145.c.clean,32,32,0.0,4.84
00146.c.clean,32,32,0.0,4.9
00147.c.clean,34,3,0.0,1.75
00148.c.clean,34,4,0.0,1.82
00149.c.clean,32,32,0.0,4.87
00150.c.clean,32,14,0.0,2.34
00151.c.clean,36,0,,1.31
00152.c.clean,32,32,0.0,4.77
00153.c.clean,32,32,0.0,4.8
00155.c.clean,35,0,,1.4
00209.c.clean,32,32,0.0,4.93
00211.c.clean,32,18,0.0,2.92
00214.c.clean,34,0,,1.52
00217.c.clean,32,0,,4.78
00218.c.clean,36,0,,1.26
