seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,-1.0,4.48
00002.c.clean,32,32,-1.0,4.38
00003.c.clean,32,32,-1.0,4.17
00004.c.clean,32,32,-11.0,4.41
00005.c.clean,32,32,-11.0,4.29
00006.c.clean,32,1,-1.0,26.27
00007.c.clean,32,0,,26.95
00008.c.clean,32,1,-1.0,24.16
00009.c.clean,32,32,-1.0,4.72
00010.c.clean,32,32,-1.0,4.37
00011.c.clean,32,32,-1.0,4.54
00012.c.clean,32,32,-1.0,4.53
00013.c.clean,32,28,-11.0,4.63
00014.c.clean,32,28,-11.0,4.29
00015.c.clean,32,6,-10.0,4.88
00016.c.clean,32,12,-10.0,3.78
00017.c.clean,32,32,-1.0,4.5
00018.c.clean,32,32,-11.0,4.88
00019.c.clean,32,32,-11.0,4.43
00020.c.clean,32,32,-11.0,4.37
00021.c.clean,32,32,-2.0,4.25
00022.c.clean,32,32,-1.0,4.15
00023.c.clean,32,32,-1.0,4.4
00024.c.clean,32,32,1.0,4.54
00025.c.clean,32,0,,2.41
00026.c.clean,32,13,-1.0,5.41
00027.c.clean,32,32,-1.0,4.32
00028.c.clean,32,32,-1.0,4.51
00029.c.clean,32,32,-1.0,4.16
00030.c.clean,32,32,-2.0,4.39
00031.c.clean,32,32,-3.0,4.4
00032.c.clean,32,7,-12.0,4.55
00033.c.clean,32,32,-2.0,4.43
00034.c.clean,32,0,,26.57
00035.c.clean,32,32,-1.0,4.55
00036.c.clean,32,32,-1.0,4.32
00037.c.clean,32,7,-10.0,4.59
00038.c.clean,32,32,-11.0,4.14
00039.c.clean,32,32,-11.0,4.5
00041.c.clean,32,32,-1.0,4.31
00042.c.clean,32,32,-1.0,4.69
00043.c.clean,32,32,-1.0,4.26
00044.c.clean,32,32,-1.0,4.17
00045.c.clean,32,32,-1.0,4.33
00046.c.clean,32,32,-1.0,4.31
00047.c.clean,32,32,-1.0,4.39
00048.c.clean,32,32,-1.0,4.23
00049.c.clean,32,32,-1.0,4.39
00050.c.clean,32,32,-1.0,4.17
00051.c.clean,32,0,,2.62
00052.c.clean,32,32,-1.0,4.37
00053.c.clean,32,32,-1.0,4.34
00054.c.clean,32,32,-1.0,4.32
00055.c.clean,32,32,-1.0,4.25
00057.c.clean,32,32,-10.0,4.22
00058.c.clean,32,14,-1.0,5.86
00059.c.clean,32,32,-1.0,4.14
00060.c.clean,32,32,-1.0,4.36
00061.c.clean,32,32,-1.0,4.15
00062.c.clean,32,32,-1.0,4.28
00063.c.clean,32,32,-1.0,4.18
00064.c.clean,32,32,-1.0,4.13
00065.c.clean,32,32,-1.0,4.56
00066.c.clean,32,32,-1.0,4.18
00067.c.clean,32,32,-1.0,4.36
00068.c.clean,32,32,-1.0,4.18
00069.c.clean,32,32,-1.0,4.23
00070.c.clean,32,32,-1.0,4.39
00071.c.clean,32,32,-1.0,4.25
00072.c.clean,32,8,-10.0,3.8
00073.c.clean,32,11,-10.0,4.23
00074.c.clean,32,32,-1.0,4.78
00075.c.clean,32,32,-1.0,4.43
00076.c.clean,32,32,-1.0,4.38
00077.c.clean,32,0,,2.68
00078.c.clean,32,32,-11.0,4.42
00079.c.clean,32,32,-1.0,4.44
