seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,-1.0,4.99
00002.c.clean,32,32,-1.0,4.87
00003.c.clean,32,32,-1.0,4.75
00004.c.clean,32,32,-11.0,4.91
00005.c.clean,32,32,-11.0,5.27
00006.c.clean,32,0,,25.96
00007.c.clean,32,0,,27.11
00008.c.clean,32,0,,26.96
00009.c.clean,32,0,,3.01
00010.c.clean,32,32,-1.0,5.17
00011.c.clean,32,32,-1.0,4.87
00012.c.clean,32,0,,2.65
00013.c.clean,32,30,-11.0,4.98
00014.c.clean,32,28,-11.0,4.82
00015.c.clean,32,4,-10.0,5.63
00016.c.clean,32,10,-10.0,4.1
00017.c.clean,32,26,-1.0,4.45
00018.c.clean,32,13,-11.0,3.6
00019.c.clean,32,32,-11.0,5.08
00020.c.clean,32,32,-11.0,4.66
00021.c.clean,32,18,-2.0,3.9
00022.c.clean,32,32,-1.0,4.68
00023.c.clean,32,32,-1.0,4.55
00024.c.clean,32,27,0.0,4.84
00025.c.clean,32,0,,2.44
00026.c.clean,32,17,-1.0,5.82
00027.c.clean,32,32,-1.0,4.63
00028.c.clean,32,32,-1.0,4.59
00029.c.clean,32,32,-1.0,5.12
00030.c.clean,32,32,-2.0,8.5
00031.c.clean,32,32,-3.0,4.7
00032.c.clean,32,5,-12.0,4.43
00033.c.clean,32,32,-2.0,4.62
00034.c.clean,32,0,,26.84
00035.c.clean,32,32,-1.0,4.63
00036.c.clean,32,8,-1.0,3.31
00037.c.clean,32,0,,6.75
00038.c.clean,32,32,-11.0,4.79
00039.c.clean,32,32,-11.0,4.56
00041.c.clean,32,15,-1.0,17.02
00042.c.clean,32,32,-1.0,4.97
00043.c.clean,32,3,-1.0,3.32
00044.c.clean,32,32,-1.0,4.72
00045.c.clean,32,32,-1.0,4.69
00046.c.clean,32,32,-1.0,4.75
00047.c.clean,32,32,-1.0,4.94
00048.c.clean,32,32,-1.0,4.7
00049.c.clean,32,32,-1.0,4.56
00050.c.clean,32,32,-1.0,4.71
00051.c.clean,32,0,,2.45
00052.c.clean,32,32,-1.0,4.47
00053.c.clean,32,32,-1.0,4.74
00054.c.clean,32,32,-1.0,4.5
00055.c.clean,32,32,-1.0,5.19
00057.c.clean,32,32,-10.0,4.58
00058.c.clean,32,12,-1.0,6.23
00059.c.clean,32,32,-1.0,4.55
00060.c.clean,32,32,-1.0,4.69
00061.c.clean,32,32,-1.0,4.5
00062.c.clean,32,32,-1.0,4.72
00063.c.clean,32,32,-1.0,4.59
00064.c.clean,32,32,-1.0,4.5
00065.c.clean,32,19,-1.0,4.01
00066.c.clean,32,1,-1.0,2.56
00067.c.clean,32,32,-1.0,4.82
00068.c.clean,32,32,-1.0,4.62
00069.c.clean,32,32,-1.0,4.81
00070.c.clean,32,32,-1.0,4.78
00071.c.clean,32,32,-1.0,4.48
00072.c.clean,32,0,,7.2
00073.c.clean,32,0,,6.82
00074.c.clean,32,32,-1.0,4.55
00075.c.clean,32,32,-1.0,4.58
00076.c.clean,32,32,-1.0,4.4
00077.c.clean,32,0,,2.52
00078.c.clean,32,0,,2.73
00079.c.clean,32,17,-1.0,4.1
00080.c.clean,32,32,-2.0,4.46
00081.c.clean,32,32,-1.0,9.28
00082.c.clean,32,32,-1.0,4.81
00083.c.clean,32,32,-4.0,4.59
00084.c.clean,32,32,-5.0,4.93
00085.c.clean,32,32,-1.0,4.52
00086.c.clean,32,0,,9.28
00087.c.clean,32,32,-2.0,4.99
00088.c.clean,32,0,,2.3
00089.c.clean,32,32,-4.0,4.46
00090.c.clean,32,17,-1.0,5.08
00091.c.clean,32,11,-1.0,5.57
00092.c.clean,32,32,-1.0,4.68
00093.c.clean,32,32,-1.0,4.81
00094.c.clean,32,32,-1.0,4.66
00095.c.clean,32,32,-2.0,4.53
00096.c.clean,32,32,-1.0,4.66
00097.c.clean,32,32,-1.0,4.52
00098.c.clean,32,32,-1.0,5.24
00099.c.clean,32,32,-2.0,4.5
00100.c.clean,32,32,-2.0,4.41
00101.c.clean,32,0,,26.52
00102.c.clean,32,0,,2.91
00103.c.clean,32,32,-11.0,4.83
00105.c.clean,32,23,-1.0,13.9
00106.c.clean,32,32,-1.0,5.05
00107.c.clean,32,32,-1.0,4.47
00108.c.clean,32,32,-1.0,4.41
00109.c.clean,32,32,-1.0,4.59
00110.c.clean,32,32,-1.0,4.3
00111.c.clean,32,0,,3.05
00112.c.clean,32,32,-1.0,4.37
00113.c.clean,32,18,-1.0,3.75
00114.c.clean,32,32,-1.0,4.53
00115.c.clean,32,3,-1.0,6.08
00116.c.clean,32,32,-2.0,4.75
00117.c.clean,32,2,-11.0,3.1
00118.c.clean,32,32,-1.0,4.5
00119.c.clean,32,32,-1.0,4.32
00120.c.clean,32,32,-1.0,8.14
00121.c.clean,32,32,-3.0,4.64
00122.c.clean,32,32,-1.0,4.73
00123.c.clean,32,32,-1.0,4.57
00124.c.clean,32,0,,2.56
00126.c.clean,32,32,-1.0,4.52
00127.c.clean,32,32,-1.0,4.4
00128.c.clean,32,32,-1.0,5.02
00130.c.clean,32,0,,2.48
00133.c.clean,32,7,-1.0,8.22
00134.c.clean,32,0,,2.35
00135.c.clean,32,32,-1.0,4.68
00136.c.clean,32,32,-1.0,4.66
00137.c.clean,32,32,-1.0,4.76
00138.c.clean,32,12,-1.0,5.89
00139.c.clean,32,0,,2.89
00140.c.clean,32,8,5.0,4.06
00141.c.clean,32,32,-1.0,4.42
00142.c.clean,32,32,-1.0,4.61
00143.c.clean,32,0,,2.97
00144.c.clean,32,0,,2.32
00145.c.clean,32,32,-1.0,9.78
00146.c.clean,32,32,-1.0,4.91
00147.c.clean,32,11,-1.0,1.91
00148.c.clean,32,7,-1.0,2.12
00149.c.clean,32,32,-1.0,7.76
00150.c.clean,32,10,-1.0,2.37
00151.c.clean,33,0,,5.46
00152.c.clean,32,32,-1.0,4.48
00153.c.clean,32,32,-1.0,4.61
00155.c.clean,32,32,-1.0,4.32
00209.c.clean,32,32,-6.0,5.01
00211.c.clean,32,13,-1.0,3.23
00214.c.clean,32,0,,2.99
00217.c.clean,32,0,,6.9
00218.c.clean,33,0,,0.43
