seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.49
00002.c.clean,32,32,0.0,4.51
00003.c.clean,32,32,0.0,5.26
00004.c.clean,32,32,0.0,4.81
00005.c.clean,32,32,0.0,5.0
00006.c.clean,32,1,0.0,16.42
00007.c.clean,32,1,0.0,16.53
00008.c.clean,32,1,0.0,17.01
00009.c.clean,32,32,1.0,5.4
00010.c.clean,32,32,0.0,4.76
00011.c.clean,32,32,0.0,4.33
00012.c.clean,32,32,0.0,5.22
00013.c.clean,32,28,0.0,4.53
00014.c.clean,32,30,0.0,5.4
00015.c.clean,32,2,0.0,5.03
00016.c.clean,32,14,0.0,5.09
00017.c.clean,32,32,0.0,4.95
00018.c.clean,32,32,0.0,5.31
00019.c.clean,32,32,0.0,4.67
00020.c.clean,32,32,0.0,4.93
00021.c.clean,32,32,0.0,5.1
00022.c.clean,32,32,0.0,4.98
00023.c.clean,32,32,0.0,4.62
00024.c.clean,32,32,1.0,5.7
00025.c.clean,32,0,,5.22
00026.c.clean,32,18,0.0,5.39
00027.c.clean,32,32,0.0,5.52
00028.c.clean,32,32,0.0,5.19
00029.c.clean,32,32,0.0,5.48
00030.c.clean,32,32,0.0,4.89
00031.c.clean,32,32,0.0,4.77
00032.c.clean,32,5,0.0,5.07
00033.c.clean,32,32,0.0,4.68
00034.c.clean,32,0,,16.2
00035.c.clean,32,32,0.0,5.96
00036.c.clean,32,32,0.0,5.35
00037.c.clean,32,15,0.0,5.0
00038.c.clean,32,32,0.0,5.52
00039.c.clean,32,32,0.0,5.14
00041.c.clean,32,32,0.0,5.0
00042.c.clean,32,32,0.0,4.53
00043.c.clean,32,32,0.0,4.63
00044.c.clean,32,32,0.0,5.46
00045.c.clean,32,32,0.0,4.97
00046.c.clean,32,32,0.0,5.78
00047.c.clean,32,32,0.0,5.16
00048.c.clean,32,32,0.0,5.36
00049.c.clean,32,32,0.0,5.39
00050.c.clean,32,32,0.0,4.85
00051.c.clean,32,0,,5.28
00052.c.clean,32,32,0.0,4.96
00053.c.clean,32,32,0.0,5.37
00054.c.clean,32,32,0.0,5.37
00055.c.clean,32,32,0.0,4.67
00057.c.clean,32,32,0.0,5.35
00058.c.clean,32,16,0.0,5.08
00059.c.clean,32,32,0.0,5.07
00060.c.clean,32,32,0.0,5.32
00061.c.clean,32,32,0.0,4.8
00062.c.clean,32,32,0.0,5.01
00063.c.clean,32,32,0.0,4.61
00064.c.clean,32,32,0.0,5.41
00065.c.clean,32,32,0.0,5.73
00066.c.clean,32,32,0.0,5.31
00067.c.clean,32,32,0.0,4.47
00068.c.clean,32,32,0.0,5.07
00069.c.clean,32,32,0.0,5.23
00070.c.clean,32,32,0.0,5.11
00071.c.clean,32,32,0.0,5.38
00072.c.clean,32,12,0.0,4.66
00073.c.clean,32,11,0.0,5.77
00074.c.clean,32,32,0.0,4.97
00075.c.clean,32,32,0.0,5.29
00076.c.clean,32,32,0.0,5.37
00077.c.clean,32,0,,4.99
00078.c.clean,32,32,0.0,4.78
00079.c.clean,32,32,0.0,5.27
00080.c.clean,32,32,0.0,4.81
00081.c.clean,32,32,0.0,5.1
00082.c.clean,32,32,0.0,4.87
00083.c.clean,32,32,0.0,5.51
00084.c.clean,32,32,0.0,5.25
00085.c.clean,32,32,0.0,4.11
00086.c.clean,32,32,0.0,5.07
00087.c.clean,32,32,0.0,4.65
00088.c.clean,32,0,,5.0
00089.c.clean,32,32,0.0,4.46
00090.c.clean,32,17,0.0,5.0
00091.c.clean,32,16,0.0,4.94
00092.c.clean,32,32,0.0,4.94
00093.c.clean,32,32,0.0,4.73
00094.c.clean,32,32,0.0,4.99
00095.c.clean,32,32,0.0,5.7
00096.c.clean,32,32,0.0,4.5
00097.c.clean,32,32,0.0,5.31
00098.c.clean,32,32,0.0,5.22
00099.c.clean,32,32,0.0,5.64
00100.c.clean,32,32,0.0,5.19
00101.c.clean,32,0,,16.18
00102.c.clean,32,9,0.0,4.78
00103.c.clean,32,32,0.0,4.77
00105.c.clean,32,32,0.0,5.33
00106.c.clean,32,32,0.0,4.65
00107.c.clean,32,32,0.0,5.5
00108.c.clean,32,32,0.0,5.39
00109.c.clean,32,32,0.0,4.79
00110.c.clean,32,32,0.0,5.51
