seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,3.21
00002.c.clean,32,32,0.0,3.13
00003.c.clean,32,32,0.0,3.31
00004.c.clean,32,32,0.0,3.08
00005.c.clean,32,32,0.0,2.92
00006.c.clean,32,0,,9.27
00007.c.clean,32,0,,9.38
00008.c.clean,32,0,,9.35
00009.c.clean,32,0,,2.92
00010.c.clean,32,32,0.0,3.6
00011.c.clean,32,32,0.0,3.24
00012.c.clean,32,0,,2.95
00013.c.clean,32,28,0.0,3.48
00014.c.clean,32,30,0.0,3.34
00015.c.clean,32,6,0.0,3.05
00016.c.clean,32,10,0.0,3.02
00017.c.clean,32,23,0.0,3.52
00018.c.clean,32,14,0.0,3.27
00019.c.clean,32,32,0.0,3.35
00020.c.clean,32,32,0.0,3.47
00021.c.clean,32,16,0.0,3.0
00022.c.clean,32,32,0.0,3.86
00023.c.clean,32,32,0.0,3.21
00024.c.clean,32,26,1.0,3.84
00025.c.clean,32,0,,3.03
00026.c.clean,32,21,0.0,3.37
00027.c.clean,32,32,0.0,3.9
00028.c.clean,32,32,0.0,3.44
00029.c.clean,32,32,0.0,3.37
00030.c.clean,32,32,0.0,3.47
00031.c.clean,32,32,0.0,3.45
00032.c.clean,32,12,0.0,3.6
00033.c.clean,32,32,0.0,3.37
00034.c.clean,32,0,,9.32
00035.c.clean,32,32,0.0,3.8
00036.c.clean,32,3,0.0,3.28
00037.c.clean,32,0,,3.55
00038.c.clean,32,32,0.0,3.36
00039.c.clean,32,32,0.0,3.73
00041.c.clean,33,15,0.0,9.17
00042.c.clean,32,32,0.0,3.73
00043.c.clean,32,7,0.0,3.68
00044.c.clean,32,32,0.0,3.28
00045.c.clean,32,32,0.0,3.73
00046.c.clean,32,32,0.0,3.84
00047.c.clean,32,32,0.0,3.88
00048.c.clean,32,32,0.0,3.15
00049.c.clean,32,32,0.0,3.4
00050.c.clean,32,32,0.0,3.35
00051.c.clean,32,0,,3.19
00052.c.clean,32,32,0.0,3.52
00053.c.clean,32,32,0.0,3.5
00054.c.clean,32,32,0.0,3.39
00055.c.clean,32,32,0.0,3.42
00057.c.clean,32,32,0.0,3.29
00058.c.clean,32,15,0.0,3.41
00059.c.clean,32,32,0.0,3.09
00060.c.clean,32,32,0.0,3.24
00061.c.clean,32,32,0.0,3.51
00062.c.clean,32,32,0.0,3.51
00063.c.clean,32,32,0.0,3.62
00064.c.clean,32,32,0.0,3.05
00065.c.clean,32,15,0.0,3.95
00066.c.clean,32,0,,2.78
00067.c.clean,32,32,0.0,3.66
00068.c.clean,32,32,0.0,3.64
00069.c.clean,32,32,0.0,3.53
00070.c.clean,32,32,0.0,3.41
00071.c.clean,32,32,0.0,3.43
00072.c.clean,32,0,,3.68
00073.c.clean,32,0,,3.08
00074.c.clean,32,32,0.0,3.22
00075.c.clean,32,32,0.0,3.55
00076.c.clean,32,32,0.0,3.01
00077.c.clean,32,0,,3.3
00078.c.clean,32,0,,3.32
00079.c.clean,32,14,0.0,3.69
00080.c.clean,32,32,0.0,3.3
00081.c.clean,32,32,0.0,3.77
00082.c.clean,32,32,0.0,3.39
00083.c.clean,32,32,0.0,3.61
00084.c.clean,32,32,0.0,3.63
00085.c.clean,32,32,0.0,3.57
00086.c.clean,32,0,,2.98
00087.c.clean,32,32,0.0,5.3
00088.c.clean,32,0,,3.35
00089.c.clean,32,32,0.0,4.02
00090.c.clean,32,12,0.0,3.64
00091.c.clean,32,16,0.0,2.71
00092.c.clean,32,32,0.0,3.43
00093.c.clean,32,32,0.0,3.44
00094.c.clean,32,32,0.0,3.38
00095.c.clean,32,32,0.0,3.47
00096.c.clean,32,32,0.0,3.45
00097.c.clean,32,32,0.0,3.63
00098.c.clean,32,32,0.0,3.42
00099.c.clean,32,32,0.0,3.6
00100.c.clean,32,32,0.0,3.31
00101.c.clean,32,0,,9.0
00102.c.clean,32,0,,3.37
00103.c.clean,32,32,0.0,3.25
00105.c.clean,32,19,0.0,9.58
00106.c.clean,32,32,0.0,3.57
00107.c.clean,32,32,0.0,3.63
00108.c.clean,32,32,0.0,3.21
00109.c.clean,32,32,0.0,3.4
00110.c.clean,32,32,0.0,3.79
00111.c.clean,32,0,,3.26
00112.c.clean,32,32,0.0,3.81
00113.c.clean,32,17,0.0,3.36
00114.c.clean,32,32,0.0,3.63
00115.c.clean,32,3,0.0,3.23
00116.c.clean,32,31,0.0,5.0
00117.c.clean,32,1,0.0,3.34
00118.c.clean,32,32,0.0,3.89
00119.c.clean,32,32,0.0,3.56
00120.c.clean,32,32,0.0,3.37
00121.c.clean,32,32,0.0,3.55
00122.c.clean,32,32,0.0,3.45
00123.c.clean,32,32,0.0,3.59
00124.c.clean,32,0,,3.41
00126.c.clean,32,32,0.0,3.63
00127.c.clean,32,32,0.0,3.76
00128.c.clean,32,32,0.0,4.29
00130.c.clean,32,0,,3.93
00133.c.clean,32,7,0.0,3.7
00134.c.clean,32,0,,3.1
00135.c.clean,32,32,0.0,3.27
00136.c.clean,32,32,0.0,3.57
00137.c.clean,32,32,0.0,3.57
00138.c.clean,32,18,0.0,3.51
00139.c.clean,32,0,,3.36
00140.c.clean,32,14,16.0,3.68
00141.c.clean,32,32,0.0,3.88
00142.c.clean,32,32,0.0,3.67
00143.c.clean,32,0,,3.06
00144.c.clean,32,0,,3.29
00145.c.clean,32,32,0.0,3.51
00146.c.clean,32,32,0.0,4.11
00147.c.clean,42,3,0.0,1.53
00148.c.clean,32,15,0.0,2.42
00149.c.clean,32,32,0.0,3.51
00150.c.clean,39,13,0.0,3.45
00151.c.clean,44,0,,0.39
00152.c.clean,32,32,0.0,3.7
00153.c.clean,32,32,0.0,3.74
00155.c.clean,32,32,0.0,3.79
00209.c.clean,32,32,0.0,4.08
00211.c.clean,32,19,0.0,3.75
00214.c.clean,32,0,,3.44
00217.c.clean,32,0,,3.22
00218.c.clean,45,0,,0.4
