seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.92
00002.c.clean,32,32,0.0,4.85
00003.c.clean,32,32,0.0,5.42
00004.c.clean,32,32,0.0,5.23
00005.c.clean,32,32,0.0,5.46
00006.c.clean,32,2,0.0,20.37
00007.c.clean,32,1,0.0,25.11
00008.c.clean,32,4,0.0,21.5
00009.c.clean,32,32,0.0,5.46
00010.c.clean,32,32,0.0,5.37
00011.c.clean,32,32,0.0,5.51
00012.c.clean,32,32,0.0,5.53
00013.c.clean,32,28,0.0,5.53
00014.c.clean,32,28,0.0,5.59
00015.c.clean,32,5,0.0,1.9
00016.c.clean,32,8,0.0,2.19
00017.c.clean,32,32,0.0,5.69
00018.c.clean,32,32,0.0,5.39
00019.c.clean,32,32,0.0,5.74
00020.c.clean,32,32,0.0,5.34
00021.c.clean,32,32,0.0,5.55
00022.c.clean,32,32,0.0,5.52
00023.c.clean,32,32,0.0,5.47
00024.c.clean,32,32,0.0,5.55
00025.c.clean,32,0,,0.96
00026.c.clean,32,25,0.0,5.44
00027.c.clean,32,32,0.0,5.64
00028.c.clean,32,32,0.0,5.25
00029.c.clean,32,32,0.0,5.52
00030.c.clean,32,32,0.0,5.33
00031.c.clean,32,32,0.0,5.52
00032.c.clean,32,2,0.0,1.19
00033.c.clean,32,32,0.0,5.55
00034.c.clean,32,0,,25.2
00035.c.clean,32,0,,0.89
00036.c.clean,32,32,0.0,5.4
00037.c.clean,32,8,0.0,2.12
00038.c.clean,32,32,0.0,5.17
00039.c.clean,32,32,0.0,5.81
00041.c.clean,32,32,0.0,5.34
00042.c.clean,32,32,0.0,5.7
00043.c.clean,32,32,0.0,5.58
00044.c.clean,32,32,0.0,5.26
00045.c.clean,32,32,0.0,5.53
00046.c.clean,32,32,0.0,5.73
00047.c.clean,32,32,0.0,5.75
00048.c.clean,32,32,0.0,5.65
00049.c.clean,32,32,0.0,5.58
00050.c.clean,32,32,0.0,5.64
00051.c.clean,32,32,0.0,5.63
00052.c.clean,32,32,0.0,5.57
00053.c.clean,32,32,0.0,5.46
00054.c.clean,32,32,0.0,5.52
00055.c.clean,32,32,0.0,5.39
00057.c.clean,32,32,0.0,5.66
00058.c.clean,32,26,0.0,5.55
00059.c.clean,32,32,0.0,5.04
00060.c.clean,32,32,0.0,4.71
00061.c.clean,32,32,0.0,5.03
00062.c.clean,32,32,0.0,5.27
00063.c.clean,32,32,0.0,5.53
00064.c.clean,32,31,0.0,5.35
00065.c.clean,32,32,0.0,5.28
00066.c.clean,32,32,0.0,4.68
00067.c.clean,32,32,0.0,5.51
00068.c.clean,32,32,0.0,5.58
00069.c.clean,32,32,0.0,5.51
00070.c.clean,32,32,0.0,5.66
00071.c.clean,32,32,0.0,4.7
00072.c.clean,32,8,0.0,2.57
00073.c.clean,32,10,0.0,2.57
00074.c.clean,32,32,0.0,5.22
00075.c.clean,32,32,0.0,4.67
00076.c.clean,32,32,0.0,4.22
00077.c.clean,32,0,,0.95
00078.c.clean,32,32,0.0,5.5
00079.c.clean,32,32,0.0,5.33
00080.c.clean,32,32,0.0,5.29
00081.c.clean,32,32,0.0,5.54
00082.c.clean,32,32,0.0,5.35
00083.c.clean,32,32,0.0,5.36
00084.c.clean,32,32,0.0,5.35
00085.c.clean,32,32,0.0,4.61
00086.c.clean,32,32,0.0,5.31
00087.c.clean,32,32,0.0,5.45
00088.c.clean,32,0,,0.97
00089.c.clean,32,32,0.0,5.38
00090.c.clean,32,7,0.0,2.3
00091.c.clean,32,3,0.0,1.46
00092.c.clean,32,31,0.0,5.14
00093.c.clean,32,32,0.0,5.42
00094.c.clean,32,32,0.0,4.31
00095.c.clean,32,32,0.0,5.42
00096.c.clean,32,32,0.0,6.2
00097.c.clean,32,32,0.0,4.48
00098.c.clean,32,32,0.0,4.13
00099.c.clean,32,32,0.0,4.44
00100.c.clean,32,32,0.0,5.29
00101.c.clean,32,0,,25.13
00102.c.clean,32,7,0.0,2.11
00103.c.clean,32,32,0.0,5.36
00105.c.clean,32,32,0.0,5.39
00106.c.clean,32,32,0.0,5.24
00107.c.clean,32,32,0.0,5.57
00108.c.clean,32,32,0.0,4.67
00109.c.clean,32,32,0.0,5.58
00110.c.clean,32,32,0.0,4.51
00111.c.clean,32,32,0.0,5.63
00112.c.clean,32,0,,0.92
00113.c.clean,32,32,0.0,5.6
00114.c.clean,32,32,0.0,4.99
00115.c.clean,32,0,,0.96
00116.c.clean,32,32,0.0,5.75
00117.c.clean,32,0,,0.94
00118.c.clean,32,32,0.0,5.55
00119.c.clean,32,32,0.0,5.59
00120.c.clean,32,32,0.0,4.61
00121.c.clean,32,32,0.0,5.66
00122.c.clean,32,32,0.0,5.32
00123.c.clean,32,32,0.0,5.44
00124.c.clean,32,0,,0.91
00126.c.clean,32,32,0.0,5.67
00127.c.clean,32,32,0.0,5.47
00128.c.clean,32,32,0.0,5.78
00130.c.clean,32,0,,0.97
00133.c.clean,32,32,0.0,5.69
00134.c.clean,32,2,0.0,1.46
00135.c.clean,32,32,0.0,5.54
00136.c.clean,32,32,0.0,5.65
00137.c.clean,32,32,0.0,5.61
00138.c.clean,32,21,0.0,5.27
00139.c.clean,32,32,0.0,5.45
00140.c.clean,32,32,0.0,5.5
00141.c.clean,32,32,0.0,5.44
00142.c.clean,32,32,0.0,4.47
00143.c.clean,32,10,0.0,4.17
00144.c.clean,32,0,,1.05
00145.c.clean,32,32,0.0,5.41
00146.c.clean,32,32,0.0,5.51
00147.c.clean,32,3,0.0,1.2
00148.c.clean,32,6,0.0,1.89
00149.c.clean,32,32,0.0,5.43
00150.c.clean,32,11,0.0,2.72
00151.c.clean,32,0,,0.66
00152.c.clean,32,32,0.0,5.24
00153.c.clean,32,32,0.0,5.45
00155.c.clean,32,0,,0.89
00209.c.clean,32,32,0.0,5.63
00211.c.clean,32,32,0.0,5.48
00214.c.clean,32,0,,1.01
00217.c.clean,32,1,0.0,4.88
00218.c.clean,32,0,,0.74
