seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,133,133,0.0,15.11
00002.c.clean,129,129,0.0,14.95
00003.c.clean,128,128,0.0,21.52
00004.c.clean,128,128,0.0,21.6
00005.c.clean,128,128,0.0,22.02
00006.c.clean,128,6,0.0,26.5
00007.c.clean,128,0,,27.68
00008.c.clean,128,0,,26.97
00009.c.clean,128,126,0.0,21.7
00010.c.clean,128,128,0.0,17.57
00011.c.clean,128,128,0.0,16.68
00012.c.clean,128,128,0.0,22.97
00013.c.clean,128,125,0.0,22.52
00014.c.clean,128,106,0.0,22.19
00015.c.clean,135,33,0.0,8.07
00016.c.clean,134,43,0.0,9.18
00017.c.clean,128,128,0.0,22.92
00018.c.clean,128,128,0.0,23.41
00019.c.clean,128,128,0.0,23.16
00020.c.clean,128,128,0.0,22.69
00021.c.clean,128,128,0.0,22.12
00022.c.clean,132,132,0.0,16.65
00023.c.clean,131,131,0.0,16.79
00024.c.clean,128,128,0.0,21.59
00025.c.clean,139,0,,5.44
00026.c.clean,128,104,0.0,22.06
00027.c.clean,128,128,0.0,21.59
00028.c.clean,128,128,0.0,21.85
00029.c.clean,128,128,0.0,21.79
00030.c.clean,128,128,0.0,22.35
00031.c.clean,128,128,0.0,22.71
00032.c.clean,132,18,0.0,7.14
00033.c.clean,128,128,0.0,22.02
00034.c.clean,128,0,,27.83
00035.c.clean,139,0,,5.37
00036.c.clean,128,128,0.0,21.7
00037.c.clean,135,26,0.0,7.88
00038.c.clean,134,134,0.0,16.99
00039.c.clean,128,128,0.0,22.83
00041.c.clean,128,128,0.0,22.99
00042.c.clean,128,128,0.0,23.5
00043.c.clean,128,128,0.0,24.03
00044.c.clean,128,128,0.0,21.57
00045.c.clean,128,128,0.0,21.89
00046.c.clean,128,128,0.0,22.58
00047.c.clean,128,128,0.0,23.43
00048.c.clean,128,128,0.0,22.2
00049.c.clean,128,128,0.0,22.16
00050.c.clean,128,128,0.0,21.88
00051.c.clean,128,128,0.0,21.74
00052.c.clean,131,131,0.0,16.68
00053.c.clean,128,128,0.0,22.28
00054.c.clean,128,128,0.0,17.64
00055.c.clean,133,133,0.0,15.77
00057.c.clean,128,128,0.0,21.15
00058.c.clean,128,99,0.0,20.92
00059.c.clean,129,129,0.0,14.67
00060.c.clean,134,134,0.0,15.55
00061.c.clean,130,130,0.0,15.03
00062.c.clean,128,128,0.0,22.48
00063.c.clean,128,128,0.0,22.21
00064.c.clean,128,127,0.0,16.81
00065.c.clean,131,131,0.0,15.06
00066.c.clean,129,129,0.0,14.64
00067.c.clean,128,128,0.0,22.02
00068.c.clean,128,128,0.0,22.7
00069.c.clean,128,128,0.0,23.18
00070.c.clean,128,128,0.0,21.98
00071.c.clean,128,128,0.0,14.34
00072.c.clean,134,43,0.0,9.75
00073.c.clean,133,48,0.0,9.1
00074.c.clean,128,128,0.0,22.06
00075.c.clean,128,128,0.0,14.93
00076.c.clean,129,129,0.0,14.56
00077.c.clean,139,0,,5.48
00078.c.clean,128,128,0.0,22.02
00079.c.clean,128,128,0.0,22.03
00080.c.clean,128,128,0.0,17.04
00081.c.clean,128,128,0.0,22.47
00082.c.clean,128,128,0.0,22.2
00083.c.clean,128,128,0.0,22.09
00084.c.clean,128,128,0.0,21.78
00085.c.clean,128,128,0.0,14.28
00086.c.clean,128,128,0.0,22.13
00087.c.clean,129,129,0.0,17.72
00088.c.clean,139,1,0.0,5.47
00089.c.clean,128,128,0.0,22.76
00090.c.clean,138,25,0.0,7.59
00091.c.clean,128,62,0.0,11.13
00092.c.clean,128,125,0.0,20.94
00093.c.clean,128,128,0.0,21.61
00094.c.clean,128,128,0.0,15.65
00095.c.clean,128,128,0.0,21.84
00096.c.clean,128,128,0.0,21.93
00097.c.clean,131,131,0.0,14.82
00098.c.clean,137,137,0.0,15.57
00099.c.clean,132,132,0.0,15.44
00100.c.clean,132,132,0.0,17.51
00101.c.clean,128,0,,27.97
00102.c.clean,135,28,0.0,7.67
00103.c.clean,128,128,0.0,23.14
00105.c.clean,128,127,0.0,23.81
00106.c.clean,128,128,0.0,23.27
00107.c.clean,128,128,0.0,22.33
00108.c.clean,136,136,0.0,15.51
00109.c.clean,128,128,0.0,22.26
00110.c.clean,130,130,0.0,14.98
00111.c.clean,128,128,0.0,21.97
00112.c.clean,139,0,,5.75
00113.c.clean,128,128,0.0,21.9
00114.c.clean,133,133,0.0,16.31
00115.c.clean,139,0,,5.5
00116.c.clean,135,135,0.0,17.13
00117.c.clean,139,1,0.0,5.53
00118.c.clean,128,128,0.0,22.89
00119.c.clean,128,128,0.0,22.47
00120.c.clean,132,132,0.0,14.79
00121.c.clean,128,128,0.0,21.27
00122.c.clean,132,132,0.0,15.14
00123.c.clean,128,128,0.0,22.35
00124.c.clean,138,1,0.0,5.74
00126.c.clean,128,128,0.0,22.33
00127.c.clean,128,128,0.0,15.67
00128.c.clean,130,130,0.0,17.69
00130.c.clean,139,1,0.0,6.33
00133.c.clean,128,128,0.0,21.77
00134.c.clean,138,7,0.0,6.51
00135.c.clean,128,128,0.0,22.07
00136.c.clean,128,128,0.0,16.55
00137.c.clean,128,126,0.0,23.06
00138.c.clean,128,104,0.0,21.98
00139.c.clean,128,128,0.0,22.15
00140.c.clean,128,128,0.0,22.53
00141.c.clean,128,128,0.0,22.16
00142.c.clean,136,136,0.0,15.42
00143.c.clean,128,48,0.0,17.93
00144.c.clean,139,0,,5.79
00145.c.clean,129,129,0.0,17.2
00146.c.clean,128,128,0.0,22.41
00147.c.clean,139,17,0.0,6.59
00148.c.clean,137,17,0.0,6.57
00149.c.clean,128,128,0.0,22.72
00150.c.clean,130,55,0.0,10.04
00151.c.clean,140,0,,4.96
00152.c.clean,133,133,0.0,15.15
00153.c.clean,132,132,0.0,16.89
00155.c.clean,139,0,,5.42
00209.c.clean,128,128,0.0,21.75
00211.c.clean,128,128,0.0,21.9
00214.c.clean,139,0,,5.85
00217.c.clean,128,16,0.0,22.26
00218.c.clean,140,0,,5.4
