seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,6.11
00002.c.clean,32,32,0.0,5.69
00003.c.clean,32,32,0.0,6.06
00004.c.clean,32,32,0.0,6.04
00005.c.clean,32,32,0.0,6.26
00006.c.clean,32,0,,24.65
00007.c.clean,32,0,,25.4
00008.c.clean,32,0,,25.14
00009.c.clean,32,0,,5.16
00010.c.clean,32,32,0.0,5.82
00011.c.clean,32,32,0.0,6.29
00012.c.clean,32,0,,1.27
00013.c.clean,32,30,0.0,6.11
00014.c.clean,32,29,0.0,6.03
00015.c.clean,32,4,0.0,1.88
00016.c.clean,32,9,0.0,3.32
00017.c.clean,32,24,0.0,6.02
00018.c.clean,32,13,0.0,5.81
00019.c.clean,32,32,0.0,6.21
00020.c.clean,32,32,0.0,6.29
00021.c.clean,32,18,0.0,5.82
00022.c.clean,32,32,0.0,6.18
00023.c.clean,32,32,0.0,6.4
00024.c.clean,32,24,0.0,6.16
00025.c.clean,32,0,,1.29
00026.c.clean,32,21,0.0,6.14
00027.c.clean,32,32,0.0,6.26
00028.c.clean,32,32,0.0,6.12
00029.c.clean,32,32,0.0,6.39
00030.c.clean,32,32,0.0,6.4
00031.c.clean,32,32,0.0,6.15
00032.c.clean,32,2,0.0,1.92
00033.c.clean,32,32,0.0,6.25
00034.c.clean,32,0,,25.47
00035.c.clean,32,0,,1.27
00036.c.clean,32,5,0.0,6.18
00037.c.clean,32,0,,2.4
00038.c.clean,32,32,0.0,6.38
00039.c.clean,32,32,0.0,6.29
00041.c.clean,32,14,0.0,17.29
00042.c.clean,32,32,0.0,6.15
00043.c.clean,32,5,0.0,5.74
00044.c.clean,32,32,0.0,6.42
00045.c.clean,32,32,0.0,6.52
00046.c.clean,32,32,0.0,6.37
00047.c.clean,32,32,0.0,6.04
00048.c.clean,32,32,0.0,6.02
00049.c.clean,32,32,0.0,6.46
00050.c.clean,32,32,0.0,6.03
00051.c.clean,32,14,0.0,3.48
00052.c.clean,32,32,0.0,6.24
00053.c.clean,32,32,0.0,6.2
00054.c.clean,32,32,0.0,6.8
00055.c.clean,32,32,0.0,6.63
00057.c.clean,32,32,0.0,6.99
00058.c.clean,32,0,,1.4
00059.c.clean,32,32,0.0,6.25
00060.c.clean,32,32,0.0,6.4
00061.c.clean,32,32,0.0,6.59
00062.c.clean,32,32,0.0,6.37
00063.c.clean,32,32,0.0,6.27
00064.c.clean,32,32,0.0,6.48
00065.c.clean,32,17,0.0,4.14
00066.c.clean,32,0,,1.28
00067.c.clean,32,32,0.0,6.13
00068.c.clean,32,32,0.0,6.3
00069.c.clean,32,32,0.0,6.16
00070.c.clean,32,32,0.0,6.3
00071.c.clean,32,32,0.0,6.57
00072.c.clean,32,0,,2.37
00073.c.clean,32,0,,2.49
00074.c.clean,32,32,0.0,6.13
00075.c.clean,32,32,0.0,5.91
00076.c.clean,32,32,0.0,6.04
00077.c.clean,32,0,,1.45
00078.c.clean,32,0,,1.44
00079.c.clean,32,17,0.0,6.04
00080.c.clean,32,32,0.0,6.02
00081.c.clean,32,32,0.0,6.06
00082.c.clean,32,32,0.0,6.29
00083.c.clean,32,32,0.0,6.68
00084.c.clean,32,32,0.0,6.24
00085.c.clean,32,32,0.0,6.32
00086.c.clean,32,0,,1.27
00087.c.clean,32,32,0.0,6.14
00088.c.clean,32,0,,1.39
00089.c.clean,32,32,0.0,6.06
00090.c.clean,32,9,0.0,2.88
00091.c.clean,32,11,0.0,3.09
00092.c.clean,32,32,0.0,6.06
00093.c.clean,32,32,0.0,6.13
00094.c.clean,32,32,0.0,6.08
00095.c.clean,32,32,0.0,6.31
00096.c.clean,32,32,0.0,6.18
00097.c.clean,32,32,0.0,6.07
00098.c.clean,32,32,0.0,4.62
00099.c.clean,32,32,0.0,5.82
00100.c.clean,32,32,0.0,6.07
00101.c.clean,32,0,,25.42
00102.c.clean,32,0,,1.26
00103.c.clean,32,32,0.0,6.3
00105.c.clean,32,32,0.0,10.77
00106.c.clean,32,32,0.0,6.1
00107.c.clean,32,32,0.0,6.06
