seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.91
00002.c.clean,32,32,0.0,4.87
00003.c.clean,32,32,0.0,4.88
00004.c.clean,32,32,0.0,4.95
00005.c.clean,32,32,0.0,5.16
00006.c.clean,32,0,,13.06
00007.c.clean,32,0,,13.28
00008.c.clean,32,0,,13.22
00009.c.clean,32,0,,4.81
00010.c.clean,32,32,0.0,4.88
00011.c.clean,32,32,0.0,5.09
00012.c.clean,35,0,,1.36
00013.c.clean,32,30,0.0,4.89
00014.c.clean,32,26,0.0,4.98
00015.c.clean,32,32,0.0,4.91
00016.c.clean,32,31,0.0,4.88
00017.c.clean,32,24,0.0,4.91
00018.c.clean,32,18,0.0,4.77
00019.c.clean,32,32,0.0,4.89
00020.c.clean,32,32,0.0,4.91
00021.c.clean,32,16,0.0,4.79
00022.c.clean,32,32,0.0,4.95
00023.c.clean,32,32,0.0,4.95
00024.c.clean,32,24,0.0,5.06
00025.c.clean,35,0,,1.35
00026.c.clean,32,24,0.0,5.14
00027.c.clean,32,32,0.0,5.15
00028.c.clean,32,32,0.0,5.23
00029.c.clean,32,32,0.0,4.99
00030.c.clean,32,32,0.0,4.84
00031.c.clean,32,32,0.0,4.87
00032.c.clean,32,32,0.0,4.85
00033.c.clean,32,32,0.0,4.93
00034.c.clean,32,0,,13.21
00035.c.clean,35,0,,1.51
00036.c.clean,32,6,0.0,4.83
00037.c.clean,32,0,,4.73
00038.c.clean,32,32,0.0,4.88
00039.c.clean,32,32,0.0,5.03
00041.c.clean,32,20,0.0,8.25
00042.c.clean,32,32,0.0,4.94
00043.c.clean,32,4,0.0,4.86
00044.c.clean,32,32,0.0,5.02
00045.c.clean,32,32,0.0,4.9
00046.c.clean,32,32,0.0,4.98
00047.c.clean,32,32,0.0,4.98
00048.c.clean,32,32,0.0,4.92
00049.c.clean,32,32,0.0,4.95
00050.c.clean,32,32,0.0,4.85
00051.c.clean,32,14,0.0,2.55
00052.c.clean,32,32,0.0,4.9
00053.c.clean,32,32,0.0,4.89
00054.c.clean,32,32,0.0,4.85
00055.c.clean,32,32,0.0,4.95
00057.c.clean,32,32,0.0,4.9
00058.c.clean,34,0,,1.35
00059.c.clean,32,32,0.0,4.85
00060.c.clean,32,32,0.0,4.86
00061.c.clean,32,32,0.0,5.01
00062.c.clean,32,32,0.0,5.19
00063.c.clean,32,32,0.0,5.18
00064.c.clean,32,32,0.0,5.16
00065.c.clean,32,17,0.0,2.83
00066.c.clean,35,0,,1.4
00067.c.clean,32,32,0.0,4.93
00068.c.clean,32,32,0.0,4.93
00069.c.clean,32,32,0.0,5.09
00070.c.clean,32,32,0.0,5.16
00071.c.clean,32,32,0.0,5.18
00072.c.clean,32,0,,4.89
00073.c.clean,32,2,0.0,4.67
00074.c.clean,32,32,0.0,4.84
00075.c.clean,32,32,0.0,4.97
00076.c.clean,32,32,0.0,5.1
00077.c.clean,35,0,,1.37
00078.c.clean,35,0,,1.37
00079.c.clean,32,19,0.0,4.88
00080.c.clean,32,32,0.0,4.93
00081.c.clean,32,32,0.0,4.85
00082.c.clean,32,32,0.0,4.84
00083.c.clean,32,32,0.0,4.9
00084.c.clean,32,32,0.0,4.91
00085.c.clean,32,32,0.0,4.79
00086.c.clean,35,0,,1.38
00087.c.clean,32,32,0.0,4.94
00088.c.clean,35,0,,1.5
00089.c.clean,32,32,0.0,5.25
00090.c.clean,32,31,0.0,5.17
00091.c.clean,32,31,0.0,5.22
00092.c.clean,32,32,0.0,5.03
00093.c.clean,32,32,0.0,5.03
00094.c.clean,32,32,0.0,4.96
00095.c.clean,32,32,0.0,4.96
00096.c.clean,32,32,0.0,4.83
00097.c.clean,32,32,0.0,4.9
00098.c.clean,32,32,0.0,3.78
00099.c.clean,32,32,0.0,4.9
00100.c.clean,32,32,0.0,4.9
00101.c.clean,32,0,,13.24
00102.c.clean,35,0,,1.34
00103.c.clean,32,32,0.0,4.92
00105.c.clean,32,30,0.0,6.7
00106.c.clean,32,32,0.0,4.93
00107.c.clean,32,32,0.0,4.91
00108.c.clean,32,32,0.0,4.93
00109.c.clean,32,32,0.0,5.04
00110.c.clean,32,32,0.0,3.69
00111.c.clean,35,0,,1.35
00112.c.clean,34,0,,1.48
00113.c.clean,32,14,0.0,5.34
00114.c.clean,32,32,0.0,5.29
00115.c.clean,35,0,,1.44
00116.c.clean,32,32,0.0,4.78
00117.c.clean,35,0,,1.41
00118.c.clean,32,32,0.0,5.1
00119.c.clean,32,32,0.0,5.27
00120.c.clean,32,32,0.0,3.79
00121.c.clean,32,32,0.0,4.88
00122.c.clean,32,32,0.0,4.84
00123.c.clean,32,32,0.0,5.17
00124.c.clean,35,0,,1.37
00126.c.clean,32,32,0.0,4.81
00127.c.clean,32,32,0.0,4.85
00128.c.clean,32,32,0.0,4.92
00130.c.clean,34,0,,1.36
00133.c.clean,32,6,0.0,1.98
00134.c.clean,35,0,,1.37
00135.c.clean,32,32,0.0,4.9
00136.c.clean,32,32,0.0,4.89
00137.c.clean,32,32,0.0,5.18
00138.c.clean,32,23,0.0,4.98
00139.c.clean,32,0,,4.64
00140.c.clean,32,7,0.0,4.7
00141.c.clean,32,32,0.0,4.88
00142.c.clean,32,32,0.0,3.74
00143.c.clean,34,0,,1.46
00144.c.clean,35,0,,1.36
00145.c.clean,32,32,0.0,5.03
00146.c.clean,32,32,0.0,4.81
00147.c.clean,32,8,0.0,1.95
00148.c.clean,32,13,0.0,2.54
00149.c.clean,32,32,0.0,4.91
00150.c.clean,32,15,0.0,2.82
00151.c.clean,36,0,,1.25
00152.c.clean,32,32,0.0,4.88
00153.c.clean,32,32,0.0,4.9
00155.c.clean,35,0,,1.34
00209.c.clean,32,32,0.0,5.0
00211.c.clean,32,16,0.0,2.85
00214.c.clean,35,0,,1.46
00217.c.clean,32,0,,4.7
00218.c.clean,36,0,,1.3
