seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,20,20,0.0,7.04
00002.c.clean,20,20,0.0,7.18
00003.c.clean,20,20,0.0,7.59
00004.c.clean,21,21,0.0,10.16
00005.c.clean,20,20,0.0,11.1
00006.c.clean,22,0,,13.81
00007.c.clean,20,0,,13.46
00008.c.clean,20,2,0.0,14.29
00009.c.clean,20,20,0.0,9.97
00010.c.clean,20,20,0.0,10.71
00011.c.clean,20,20,0.0,10.57
00012.c.clean,20,11,0.0,12.76
00013.c.clean,20,19,0.0,12.6
00014.c.clean,20,19,0.0,12.01
00015.c.clean,20,17,0.0,12.02
00016.c.clean,20,20,0.0,8.84
00017.c.clean,20,20,0.0,10.78
00018.c.clean,20,20,0.0,11.78
00019.c.clean,20,16,0.0,11.13
00020.c.clean,21,21,0.0,11.31
00021.c.clean,21,21,-1.0,10.94
00022.c.clean,20,20,0.0,9.55
00023.c.clean,20,20,0.0,10.72
00024.c.clean,20,20,0.0,11.04
00025.c.clean,20,0,,5.58
00026.c.clean,20,11,0.0,8.3
00027.c.clean,21,21,0.0,10.3
00028.c.clean,20,6,0.0,12.9
00029.c.clean,22,22,0.0,10.19
00030.c.clean,20,16,0.0,10.68
00031.c.clean,20,20,0.0,11.81
00032.c.clean,22,22,0.0,11.43
00033.c.clean,22,22,-1.0,8.91
00034.c.clean,20,0,,13.93
00035.c.clean,20,20,0.0,9.4
00036.c.clean,20,20,0.0,9.55
00037.c.clean,20,14,0.0,9.65
00038.c.clean,20,18,0.0,10.55
00039.c.clean,20,20,0.0,9.63
00041.c.clean,20,20,0.0,8.36
00042.c.clean,20,20,0.0,9.79
00043.c.clean,20,20,0.0,9.43
00044.c.clean,22,22,0.0,11.35
00045.c.clean,20,16,0.0,10.72
00046.c.clean,20,20,0.0,10.75
00047.c.clean,20,18,0.0,11.97
00048.c.clean,20,20,0.0,10.08
00049.c.clean,20,20,0.0,11.23
00050.c.clean,20,10,0.0,13.76
00051.c.clean,20,0,,9.14
00052.c.clean,20,16,0.0,15.81
00053.c.clean,20,12,0.0,12.37
00054.c.clean,20,19,0.0,12.59
00055.c.clean,20,20,0.0,10.96
00057.c.clean,20,15,0.0,11.13
00058.c.clean,20,9,0.0,8.25
00059.c.clean,20,20,0.0,9.98
00060.c.clean,20,13,0.0,11.97
00061.c.clean,21,21,0.0,12.01
00062.c.clean,20,20,0.0,9.9
00063.c.clean,20,19,0.0,12.01
00064.c.clean,20,20,0.0,11.21
00065.c.clean,20,20,0.0,11.2
00066.c.clean,20,20,0.0,10.78
00067.c.clean,20,20,0.0,9.83
00068.c.clean,20,20,0.0,11.26
00069.c.clean,20,20,0.0,9.63
00070.c.clean,20,14,0.0,10.7
00071.c.clean,19,19,0.0,9.29
00072.c.clean,20,14,0.0,8.93
00073.c.clean,20,17,0.0,10.53
00074.c.clean,20,16,0.0,11.98
00075.c.clean,20,20,0.0,10.62
