seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,23,23,0.0,2.86
00002.c.clean,23,23,0.0,3.88
00003.c.clean,23,23,0.0,3.93
00004.c.clean,23,23,0.0,3.64
00005.c.clean,23,23,0.0,4.35
00006.c.clean,24,1,0.0,12.82
00007.c.clean,24,0,,12.88
00008.c.clean,24,0,,13.41
00009.c.clean,23,23,0.0,4.0
00010.c.clean,23,23,0.0,3.29
00011.c.clean,23,23,0.0,3.79
00012.c.clean,23,23,0.0,3.03
00013.c.clean,23,22,0.0,2.73
00014.c.clean,24,22,0.0,5.17
00015.c.clean,24,1,0.0,3.28
00016.c.clean,24,9,0.0,3.49
00017.c.clean,23,23,0.0,3.29
00018.c.clean,23,23,0.0,3.49
00019.c.clean,23,23,0.0,3.52
00020.c.clean,23,23,0.0,3.53
00021.c.clean,23,23,0.0,3.06
00022.c.clean,23,23,0.0,3.15
00023.c.clean,23,23,0.0,3.98
00024.c.clean,23,23,1.0,3.41
00025.c.clean,24,0,,4.08
00026.c.clean,24,12,0.0,3.79
00027.c.clean,23,23,0.0,3.43
00028.c.clean,23,23,0.0,4.42
00029.c.clean,23,23,0.0,3.99
00030.c.clean,23,23,0.0,3.94
00031.c.clean,23,23,0.0,3.39
00032.c.clean,24,5,0.0,4.22
00033.c.clean,22,22,0.0,3.56
00034.c.clean,24,0,,12.55
00035.c.clean,23,23,0.0,3.83
00036.c.clean,23,23,0.0,4.32
00037.c.clean,24,8,0.0,3.44
00038.c.clean,23,23,0.0,3.35
00039.c.clean,23,23,0.0,3.31
00041.c.clean,23,23,0.0,3.52
00042.c.clean,23,23,0.0,3.14
00043.c.clean,23,23,0.0,3.64
00044.c.clean,23,23,0.0,3.1
00045.c.clean,23,23,0.0,3.27
00046.c.clean,23,23,0.0,3.83
00047.c.clean,23,23,0.0,3.58
00048.c.clean,23,23,0.0,3.23
00049.c.clean,23,23,0.0,3.75
00050.c.clean,23,23,0.0,3.36
00051.c.clean,24,0,,3.92
00052.c.clean,23,23,0.0,3.56
00053.c.clean,24,13,0.0,15.2
00054.c.clean,24,14,0.0,12.54
00055.c.clean,24,23,0.0,10.46
00057.c.clean,24,18,0.0,11.61
00058.c.clean,24,13,0.0,7.01
00059.c.clean,20,20,0.0,5.9
00060.c.clean,23,23,0.0,5.86
00061.c.clean,21,21,0.0,5.48
00062.c.clean,23,23,0.0,5.46
00063.c.clean,23,23,0.0,6.01
00064.c.clean,22,22,0.0,5.73
