filename,mutation-id,asm_diff
00140.c.clean,22,16.0
00143.c.clean,23,2.0
20001011-1.c.clean,22,2.0
20010925-1.c.clean,23,2.0
20011219-1.c.clean,22,2.0
20020201-1.c.clean,4,3.0
20020510-1.c.clean,23,2.0
20030626-2.c.clean,22,2.0
20050826-1.c.clean,22,5.0
930529-1.c.clean,23,14.0
pr21173.c.clean,19,2.0
pr34070-1.c.clean,20,2.0
pr36038.c.clean,23,2.0
pr42248.c.clean,18,7.0
pr58662.c.clean,2,2.0
pr71631.c.clean,22,5.0
pr79327.c.clean,23,6.0
string-opt-17.c.clean,21,2.0
string-opt-5.c.clean,22,14.0
strlen-2.c.clean,20,114.0
strlen-3.c.clean,21,2.0
strlen-4.c.clean,23,234.0
