filename,mutation-id,asm_diff
00009.c.clean,22,1.0
00024.c.clean,19,1.0
00140.c.clean,19,16.0
20001203-1.c.clean,15,1.0
20010910-1.c.clean,20,1.0
20011019-1.c.clean,22,1.0
20020118-1.c.clean,19,1.0
20020201-1.c.clean,4,1.0
20030221-1.c.clean,1,1.0
20051110-2.c.clean,19,1.0
20081103-1.c.clean,4,9.0
20100416-1.c.clean,18,1.0
20140326-1.c.clean,8,1.0
pr21173.c.clean,17,1.0
pr34070-1.c.clean,7,2.0
pr42248.c.clean,19,6.0
pr47337.c.clean,18,1.0
pr56250.c.clean,21,1.0
pr58662.c.clean,17,2.0
pr68911.c.clean,16,1.0
pr71631.c.clean,11,4.0
pr78477.c.clean,2,1.0
pr78856.c.clean,19,1.0
pr94809.c.clean,19,1.0
pr97836.c.clean,17,1.0
string-opt-5.c.clean,21,1.0
