seed,mutation-id,compiler-1,compiler-2,mutation-attempts,assembly-diff
20000113-1.c.clean,0,gcc-11,gcc-12,5,-1
20000113-1.c.clean,1,gcc-11,gcc-12,5,-1
20000113-1.c.clean,2,gcc-11,gcc-12,3,0
20000113-1.c.clean,3,gcc-11,gcc-12,5,-1
20000113-1.c.clean,4,gcc-11,gcc-12,5,-1
20000113-1.c.clean,5,gcc-11,gcc-12,5,-1
20000113-1.c.clean,6,gcc-11,gcc-12,5,-1
20000113-1.c.clean,7,gcc-11,gcc-12,5,-1
20000113-1.c.clean,8,gcc-11,gcc-12,2,0
20000113-1.c.clean,9,gcc-11,gcc-12,5,-1
20000121-1.c.clean,0,gcc-11,gcc-12,1,0
20000121-1.c.clean,1,gcc-11,gcc-12,1,0
20000121-1.c.clean,2,gcc-11,gcc-12,1,0
20000121-1.c.clean,3,gcc-11,gcc-12,1,0
20000121-1.c.clean,4,gcc-11,gcc-12,1,0
20000121-1.c.clean,5,gcc-11,gcc-12,1,0
20000121-1.c.clean,6,gcc-11,gcc-12,1,0
20000121-1.c.clean,7,gcc-11,gcc-12,1,0
20000121-1.c.clean,8,gcc-11,gcc-12,1,0
20000121-1.c.clean,9,gcc-11,gcc-12,1,0
20000205-1.c.clean,0,gcc-11,gcc-12,1,0
20000205-1.c.clean,1,gcc-11,gcc-12,1,0
20000205-1.c.clean,2,gcc-11,gcc-12,1,0
20000205-1.c.clean,3,gcc-11,gcc-12,1,0
20000205-1.c.clean,4,gcc-11,gcc-12,1,0
20000205-1.c.clean,5,gcc-11,gcc-12,1,0
20000205-1.c.clean,6,gcc-11,gcc-12,1,0
20000205-1.c.clean,7,gcc-11,gcc-12,1,0
20000205-1.c.clean,8,gcc-11,gcc-12,1,0
20000205-1.c.clean,9,gcc-11,gcc-12,2,0
20000217-1.c.clean,0,gcc-11,gcc-12,1,0
20000217-1.c.clean,1,gcc-11,gcc-12,1,0
20000217-1.c.clean,2,gcc-11,gcc-12,1,0
20000217-1.c.clean,3,gcc-11,gcc-12,1,0
20000217-1.c.clean,4,gcc-11,gcc-12,1,0
20000217-1.c.clean,5,gcc-11,gcc-12,1,0
20000217-1.c.clean,6,gcc-11,gcc-12,1,0
