seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,-1.0,4.67
00002.c.clean,34,34,-1.0,5.16
00003.c.clean,33,33,-1.0,4.87
00004.c.clean,32,32,-11.0,5.19
00005.c.clean,32,32,-11.0,4.87
00006.c.clean,33,4,-1.0,9.42
00007.c.clean,32,0,,9.76
00008.c.clean,32,1,-1.0,9.9
00009.c.clean,32,32,0.0,4.9
00010.c.clean,33,33,-1.0,5.21
00011.c.clean,32,32,-1.0,4.8
00012.c.clean,33,33,-1.0,5.1
00013.c.clean,32,29,-11.0,5.08
00014.c.clean,32,29,-11.0,5.57
00015.c.clean,32,6,-10.0,4.79
00016.c.clean,34,13,-10.0,4.79
00017.c.clean,32,32,0.0,5.0
00018.c.clean,32,32,-11.0,4.99
00019.c.clean,34,34,-11.0,5.03
00020.c.clean,33,33,-11.0,5.32
00021.c.clean,33,33,-2.0,5.03
00022.c.clean,32,32,-1.0,4.95
00023.c.clean,32,32,-1.0,4.69
00024.c.clean,32,32,1.0,5.34
00025.c.clean,40,0,,3.39
00026.c.clean,32,18,-1.0,6.12
00027.c.clean,33,33,-1.0,5.12
00028.c.clean,32,32,-1.0,4.61
00029.c.clean,32,32,-1.0,4.82
00030.c.clean,32,32,-2.0,5.15
00031.c.clean,32,32,-3.0,5.03
00032.c.clean,32,6,-12.0,4.93
00033.c.clean,33,33,-2.0,5.15
00034.c.clean,32,0,,9.36
00035.c.clean,33,33,-1.0,4.94
00036.c.clean,32,32,-1.0,5.1
00037.c.clean,33,13,-10.0,4.65
00038.c.clean,32,32,-11.0,5.23
00039.c.clean,34,34,-11.0,5.56
00041.c.clean,32,32,-1.0,4.99
00042.c.clean,32,32,-1.0,4.83
00043.c.clean,32,32,-1.0,5.03
00044.c.clean,32,32,-1.0,4.79
00045.c.clean,33,33,-1.0,4.84
00046.c.clean,34,34,-1.0,5.51
00047.c.clean,32,32,-1.0,4.83
00048.c.clean,34,34,-1.0,5.17
00049.c.clean,32,32,-1.0,4.72
00050.c.clean,32,32,-1.0,4.92
00051.c.clean,32,0,,2.65
00052.c.clean,34,34,-1.0,5.51
00053.c.clean,32,32,-1.0,4.73
00054.c.clean,34,34,-1.0,5.17
00055.c.clean,34,34,-1.0,5.01
00057.c.clean,33,33,-10.0,5.05
00058.c.clean,32,21,-1.0,5.75
00059.c.clean,32,32,-1.0,4.73
00060.c.clean,32,32,-1.0,4.68
00061.c.clean,33,33,-1.0,4.87
00062.c.clean,33,33,-1.0,5.31
00063.c.clean,32,32,-1.0,5.08
00064.c.clean,32,32,-1.0,4.74
00065.c.clean,32,32,-1.0,4.77
00066.c.clean,32,32,-1.0,4.74
00067.c.clean,32,32,-1.0,4.83
00068.c.clean,33,33,-1.0,5.13
00069.c.clean,34,34,-1.0,4.96
00070.c.clean,32,32,-1.0,5.17
00071.c.clean,32,32,-1.0,4.66
00072.c.clean,32,9,-10.0,4.28
00073.c.clean,32,7,-10.0,4.08
00074.c.clean,32,32,-1.0,4.69
00075.c.clean,33,33,-1.0,4.98
00076.c.clean,32,32,-1.0,4.6
00077.c.clean,37,0,,3.43
00078.c.clean,32,32,-11.0,4.95
00079.c.clean,32,32,-1.0,5.12
00080.c.clean,34,34,-2.0,5.1
00081.c.clean,32,32,-1.0,5.04
00082.c.clean,32,32,-1.0,5.0
00083.c.clean,32,32,-4.0,5.18
00084.c.clean,32,32,-5.0,5.09
00085.c.clean,32,32,-1.0,4.77
00086.c.clean,33,33,-1.0,4.9
00087.c.clean,32,32,-2.0,4.97
00088.c.clean,33,0,,3.02
00089.c.clean,32,32,-4.0,5.42
00090.c.clean,32,14,-1.0,5.81
00091.c.clean,34,16,-1.0,6.33
00092.c.clean,32,32,-1.0,4.68
00093.c.clean,35,35,-1.0,5.66
00094.c.clean,33,33,-1.0,4.78
00095.c.clean,32,32,-2.0,4.75
00096.c.clean,32,32,-1.0,4.88
00097.c.clean,32,32,-1.0,4.77
00098.c.clean,33,33,-1.0,4.89
00099.c.clean,32,32,-2.0,5.01
00100.c.clean,33,33,-2.0,5.14
00101.c.clean,32,0,,9.15
00102.c.clean,32,7,-1.0,3.14
00103.c.clean,33,33,-11.0,5.22
00105.c.clean,32,32,-1.0,5.08
00106.c.clean,32,32,-1.0,4.78
00107.c.clean,32,32,-1.0,4.78
00108.c.clean,32,32,-1.0,4.66
00109.c.clean,33,33,-1.0,5.03
00110.c.clean,33,33,-1.0,4.92
00111.c.clean,32,32,-1.0,5.04
00112.c.clean,32,32,-1.0,4.78
00113.c.clean,32,32,-1.0,5.18
00114.c.clean,32,32,-1.0,5.06
00115.c.clean,32,0,,6.83
00116.c.clean,33,33,-2.0,4.96
00117.c.clean,32,0,,3.63
00118.c.clean,32,32,-1.0,4.68
00119.c.clean,32,32,-1.0,4.97
00120.c.clean,32,32,-1.0,4.95
00121.c.clean,33,33,-3.0,5.14
00122.c.clean,32,32,-1.0,4.73
00123.c.clean,32,32,-1.0,4.94
00124.c.clean,43,0,,3.75
00126.c.clean,32,32,-1.0,4.87
00127.c.clean,34,34,-1.0,5.08
00128.c.clean,32,32,-1.0,5.14
00130.c.clean,37,1,-10.0,3.39
00133.c.clean,32,32,-1.0,4.66
00134.c.clean,33,2,-1.0,3.14
00135.c.clean,32,32,-1.0,4.68
00136.c.clean,32,32,-1.0,5.15
00137.c.clean,32,32,-1.0,4.77
00138.c.clean,32,18,-1.0,5.7
00139.c.clean,32,32,-1.0,4.73
00140.c.clean,32,32,5.0,5.59
00141.c.clean,33,33,-1.0,4.84
00142.c.clean,32,32,-1.0,4.92
00143.c.clean,34,15,-11.0,5.11
00144.c.clean,39,0,,3.27
00145.c.clean,32,32,-1.0,4.87
00146.c.clean,32,32,-1.0,4.71
00147.c.clean,43,4,-1.0,1.51
00148.c.clean,37,10,-1.0,2.22
00149.c.clean,32,32,-1.0,4.89
00150.c.clean,34,14,-1.0,2.58
00151.c.clean,44,0,,0.89
00152.c.clean,32,32,-1.0,4.86
00153.c.clean,32,32,-1.0,4.78
00155.c.clean,32,32,-1.0,4.76
00209.c.clean,32,32,-6.0,5.21
00211.c.clean,34,34,-1.0,5.37
00214.c.clean,38,0,,3.28
00217.c.clean,32,4,-1.0,6.32
