seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,33,33,-1.0,5.45
00002.c.clean,32,32,-1.0,5.63
00003.c.clean,33,33,-1.0,5.58
00004.c.clean,32,32,-11.0,5.83
00005.c.clean,32,32,-11.0,5.32
00006.c.clean,32,0,,9.6
00007.c.clean,32,0,,9.57
00008.c.clean,32,0,,9.66
00009.c.clean,35,0,,3.72
00010.c.clean,32,32,-1.0,5.37
00011.c.clean,33,33,-1.0,5.31
00012.c.clean,35,0,,3.54
00013.c.clean,32,30,-11.0,5.42
00014.c.clean,32,29,-11.0,5.71
00015.c.clean,33,4,-10.0,5.45
00016.c.clean,32,4,-10.0,4.48
00017.c.clean,35,27,-1.0,5.48
00018.c.clean,35,22,-11.0,5.31
00019.c.clean,32,32,-11.0,5.25
00020.c.clean,32,32,-11.0,5.62
00021.c.clean,32,12,-2.0,4.07
00022.c.clean,32,32,-1.0,5.8
00023.c.clean,33,33,-1.0,5.11
00024.c.clean,33,28,0.0,5.48
00025.c.clean,35,0,,3.22
00026.c.clean,32,14,-1.0,6.66
00027.c.clean,33,33,-1.0,5.41
00028.c.clean,32,32,-1.0,5.36
00029.c.clean,32,32,-1.0,5.32
00030.c.clean,32,32,-2.0,5.41
00031.c.clean,32,32,-3.0,5.45
00032.c.clean,34,7,-12.0,5.34
00033.c.clean,32,32,-2.0,5.24
00034.c.clean,32,0,,9.91
00035.c.clean,32,32,-1.0,5.72
00036.c.clean,34,6,-1.0,3.9
00037.c.clean,32,0,,7.4
00038.c.clean,34,34,-11.0,5.14
00039.c.clean,32,32,-11.0,5.6
00041.c.clean,34,10,-1.0,9.66
00042.c.clean,32,32,-1.0,5.65
00043.c.clean,35,3,-1.0,4.25
00044.c.clean,33,33,-1.0,5.46
00045.c.clean,33,33,-1.0,5.93
00046.c.clean,32,32,-1.0,6.7
00047.c.clean,32,32,-1.0,5.59
00048.c.clean,32,32,-1.0,6.04
00049.c.clean,32,32,-1.0,6.85
00050.c.clean,32,32,-1.0,6.68
00051.c.clean,37,0,,4.55
00052.c.clean,32,32,-1.0,6.76
00053.c.clean,32,32,-1.0,7.04
00054.c.clean,32,32,-1.0,6.63
00055.c.clean,32,32,-1.0,7.28
00057.c.clean,32,32,-10.0,7.28
00058.c.clean,32,16,-1.0,9.89
00059.c.clean,32,32,-1.0,8.88
00060.c.clean,32,32,-1.0,7.62
00061.c.clean,32,32,-1.0,7.24
00062.c.clean,33,33,-1.0,7.1
00063.c.clean,32,32,-1.0,6.18
00064.c.clean,32,32,-1.0,6.54
00065.c.clean,37,15,-1.0,5.51
00066.c.clean,32,1,-1.0,3.65
00067.c.clean,32,32,-1.0,6.11
00068.c.clean,32,32,-1.0,6.19
00069.c.clean,32,32,-1.0,6.47
00070.c.clean,33,33,-1.0,6.27
00071.c.clean,33,33,-1.0,5.71
00072.c.clean,32,0,,7.75
00073.c.clean,32,0,,7.92
00074.c.clean,32,32,-1.0,5.56
00075.c.clean,32,32,-1.0,5.16
00076.c.clean,32,32,-1.0,5.68
00077.c.clean,34,0,,3.48
00078.c.clean,36,0,,3.85
00079.c.clean,32,15,-1.0,4.46
00080.c.clean,32,32,-2.0,5.5
00081.c.clean,32,32,-1.0,5.29
00082.c.clean,32,32,-1.0,5.37
00083.c.clean,32,32,-4.0,5.41
00084.c.clean,33,33,-5.0,5.92
00085.c.clean,33,33,-1.0,5.4
00086.c.clean,37,0,,4.05
00087.c.clean,33,33,-2.0,5.52
00088.c.clean,32,0,,3.0
00089.c.clean,33,33,-4.0,5.46
00090.c.clean,32,14,-1.0,5.85
00091.c.clean,32,14,-1.0,5.62
00092.c.clean,32,32,-1.0,5.13
00093.c.clean,32,32,-1.0,4.99
00094.c.clean,32,32,-1.0,5.11
00095.c.clean,32,32,-2.0,4.97
00096.c.clean,32,32,-1.0,5.41
00097.c.clean,32,32,-1.0,4.85
00098.c.clean,33,33,-1.0,5.26
00099.c.clean,34,34,-2.0,5.25
00100.c.clean,33,33,-2.0,5.3
00101.c.clean,32,0,,9.33
00102.c.clean,40,0,,3.56
00103.c.clean,32,32,-11.0,4.96
00105.c.clean,33,18,-1.0,9.17
00106.c.clean,33,33,-1.0,5.19
00107.c.clean,32,32,-1.0,5.02
00108.c.clean,32,32,-1.0,5.02
00109.c.clean,32,32,-1.0,4.94
00110.c.clean,33,33,-1.0,5.2
00111.c.clean,40,0,,3.47
00112.c.clean,32,32,-1.0,5.17
00113.c.clean,35,22,-1.0,5.08
00114.c.clean,32,32,-1.0,5.03
00115.c.clean,33,1,-1.0,6.55
00116.c.clean,33,33,-2.0,5.29
00117.c.clean,36,1,-11.0,4.15
00118.c.clean,32,32,-1.0,5.2
00119.c.clean,32,32,-1.0,4.96
00120.c.clean,32,32,-1.0,5.1
00121.c.clean,32,32,-3.0,5.19
00122.c.clean,32,32,-1.0,5.07
00123.c.clean,32,32,-1.0,5.09
00124.c.clean,34,0,,3.22
00126.c.clean,32,32,-1.0,5.29
00127.c.clean,32,32,-1.0,5.01
00128.c.clean,32,32,-1.0,5.51
00130.c.clean,39,0,,3.39
00133.c.clean,34,6,-1.0,3.57
00134.c.clean,38,0,,3.39
00135.c.clean,32,32,-1.0,4.85
00136.c.clean,34,34,-1.0,5.36
00137.c.clean,32,32,-1.0,5.28
00138.c.clean,32,17,-1.0,5.92
00139.c.clean,35,0,,3.44
00140.c.clean,35,18,5.0,4.99
00141.c.clean,33,33,-1.0,5.15
00142.c.clean,33,33,-1.0,5.28
00143.c.clean,32,0,,3.36
00144.c.clean,36,0,,3.38
00145.c.clean,32,32,-1.0,5.03
00146.c.clean,34,34,-1.0,5.56
00147.c.clean,42,7,-1.0,2.08
00148.c.clean,43,5,-1.0,1.88
00149.c.clean,32,32,-1.0,6.56
00150.c.clean,41,14,-1.0,2.92
00151.c.clean,45,0,,0.64
00152.c.clean,36,36,-1.0,8.38
00153.c.clean,32,32,-1.0,5.36
00155.c.clean,33,33,-1.0,5.19
00209.c.clean,32,32,-6.0,5.47
00211.c.clean,37,19,-1.0,4.73
00214.c.clean,36,0,,3.21
00217.c.clean,32,0,,6.94
00218.c.clean,45,0,,0.63
