seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,8.22
00002.c.clean,32,32,0.0,7.95
00003.c.clean,32,32,0.0,8.6
00004.c.clean,32,32,0.0,8.27
00005.c.clean,32,32,0.0,8.02
00006.c.clean,32,2,0.0,25.9
00007.c.clean,32,0,,30.85
00008.c.clean,32,3,0.0,25.57
00009.c.clean,32,31,1.0,8.44
00010.c.clean,32,32,0.0,7.95
00011.c.clean,32,32,0.0,8.24
00012.c.clean,32,32,0.0,8.19
00013.c.clean,32,28,0.0,8.21
00014.c.clean,32,32,0.0,7.85
00015.c.clean,32,3,0.0,8.31
00016.c.clean,32,8,0.0,7.31
00017.c.clean,32,32,0.0,7.32
00018.c.clean,32,32,0.0,7.79
00019.c.clean,32,32,0.0,7.9
00020.c.clean,32,32,0.0,8.01
00021.c.clean,32,32,0.0,8.12
00022.c.clean,32,32,0.0,8.99
00023.c.clean,32,32,0.0,8.68
00024.c.clean,32,32,1.0,8.48
00025.c.clean,32,0,,8.09
00026.c.clean,32,15,0.0,8.26
00027.c.clean,32,32,0.0,7.83
00028.c.clean,32,32,0.0,8.08
00029.c.clean,32,32,0.0,7.7
00030.c.clean,32,32,0.0,7.77
00031.c.clean,32,32,0.0,7.98
00032.c.clean,32,7,0.0,7.54
00033.c.clean,32,32,0.0,8.26
00034.c.clean,32,0,,30.78
00035.c.clean,32,32,0.0,8.14
00036.c.clean,32,32,0.0,8.14
00037.c.clean,32,7,0.0,7.64
00038.c.clean,32,32,0.0,7.84
00039.c.clean,32,32,0.0,8.43
00041.c.clean,32,32,0.0,8.56
00042.c.clean,32,32,0.0,8.19
00043.c.clean,32,32,0.0,8.13
00044.c.clean,32,32,0.0,8.47
00045.c.clean,32,32,0.0,7.98
00046.c.clean,32,32,0.0,8.43
00047.c.clean,32,32,0.0,8.2
00048.c.clean,32,32,0.0,8.26
00049.c.clean,32,32,0.0,8.22
00050.c.clean,32,32,0.0,7.41
00051.c.clean,32,0,,6.38
00052.c.clean,32,32,0.0,8.21
00053.c.clean,32,32,0.0,7.89
00054.c.clean,32,32,0.0,8.28
00055.c.clean,32,32,0.0,8.37
00057.c.clean,32,32,0.0,7.76
00058.c.clean,32,18,0.0,8.38
00059.c.clean,32,32,0.0,7.67
