seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,22,22,0.0,3.69
00002.c.clean,20,20,0.0,3.77
00003.c.clean,20,20,0.0,3.74
00004.c.clean,20,20,0.0,4.09
00005.c.clean,20,20,0.0,3.88
00006.c.clean,20,5,0.0,10.07
00007.c.clean,20,0,,12.03
00008.c.clean,20,0,,12.13
00009.c.clean,23,22,1.0,5.55
00010.c.clean,20,18,0.0,7.25
00011.c.clean,20,19,0.0,6.97
00012.c.clean,20,20,0.0,6.89
00013.c.clean,20,19,0.0,4.23
00014.c.clean,20,19,0.0,4.31
00015.c.clean,20,19,0.0,3.67
00016.c.clean,22,22,0.0,4.29
00017.c.clean,20,20,0.0,4.46
00018.c.clean,20,20,0.0,5.35
00019.c.clean,20,20,0.0,4.19
00020.c.clean,20,20,0.0,4.14
00021.c.clean,20,20,0.0,3.66
00022.c.clean,21,21,0.0,3.24
00023.c.clean,20,20,0.0,3.72
00024.c.clean,20,20,1.0,4.33
00025.c.clean,20,0,,2.65
00026.c.clean,20,9,0.0,3.3
00027.c.clean,20,20,0.0,3.25
00028.c.clean,22,22,0.0,3.08
00029.c.clean,20,20,0.0,3.46
00030.c.clean,20,20,0.0,3.22
00031.c.clean,20,20,0.0,3.09
00032.c.clean,21,21,0.0,2.87
00033.c.clean,20,20,0.0,3.09
00034.c.clean,20,0,,12.12
00035.c.clean,20,20,0.0,3.33
00036.c.clean,20,20,0.0,3.32
00037.c.clean,20,19,0.0,3.32
00038.c.clean,22,22,0.0,3.18
00039.c.clean,20,20,0.0,3.35
00041.c.clean,21,21,0.0,3.06
00042.c.clean,20,20,0.0,3.31
00043.c.clean,21,21,0.0,3.33
00044.c.clean,20,20,0.0,3.52
00045.c.clean,20,20,0.0,3.2
00046.c.clean,20,20,0.0,3.47
00047.c.clean,20,20,0.0,3.58
00048.c.clean,20,20,0.0,3.17
00049.c.clean,20,20,0.0,3.98
00050.c.clean,20,20,0.0,3.94
00051.c.clean,20,0,,3.04
00052.c.clean,20,20,0.0,3.73
00053.c.clean,20,20,0.0,3.74
00054.c.clean,20,20,0.0,3.8
00055.c.clean,20,20,0.0,3.96
00057.c.clean,20,20,0.0,3.56
00058.c.clean,20,11,0.0,3.68
00059.c.clean,22,22,0.0,3.96
00060.c.clean,20,20,0.0,4.99
00061.c.clean,20,20,0.0,4.03
