seed,mutation-attempts-total,mutation-attempts-valid,max_asm_diff,elapsed_s
00001.c.clean,32,32,0.0,4.94
00002.c.clean,32,32,0.0,4.73
00003.c.clean,32,32,0.0,5.25
00004.c.clean,32,32,0.0,5.21
00005.c.clean,32,32,0.0,5.35
00006.c.clean,32,1,0.0,21.02
00007.c.clean,32,0,,25.12
00008.c.clean,32,1,0.0,17.46
00009.c.clean,32,32,0.0,5.33
00010.c.clean,32,32,0.0,5.54
00011.c.clean,32,32,0.0,5.46
00012.c.clean,32,32,0.0,5.37
00013.c.clean,32,30,0.0,5.59
00014.c.clean,32,27,0.0,5.37
00015.c.clean,32,7,0.0,2.06
00016.c.clean,32,4,0.0,1.6
00017.c.clean,32,32,0.0,5.49
00018.c.clean,32,32,0.0,5.46
00019.c.clean,32,32,0.0,5.41
00020.c.clean,32,32,0.0,5.46
00021.c.clean,32,32,0.0,5.23
00022.c.clean,32,32,0.0,5.31
00023.c.clean,32,32,0.0,5.21
00024.c.clean,32,32,0.0,5.43
00025.c.clean,32,0,,0.96
00026.c.clean,32,28,0.0,5.22
00027.c.clean,32,32,0.0,5.45
00028.c.clean,32,32,0.0,5.24
00029.c.clean,32,32,0.0,5.41
00030.c.clean,32,32,0.0,5.33
00031.c.clean,32,32,0.0,5.47
00032.c.clean,32,5,0.0,1.95
00033.c.clean,32,32,0.0,5.56
00034.c.clean,32,0,,25.16
00035.c.clean,32,0,,0.92
00036.c.clean,32,32,0.0,5.55
00037.c.clean,32,6,0.0,2.11
00038.c.clean,32,32,0.0,5.51
00039.c.clean,32,32,0.0,5.47
00041.c.clean,32,32,0.0,5.67
00042.c.clean,32,32,0.0,5.44
00043.c.clean,32,32,0.0,5.89
00044.c.clean,32,32,0.0,7.57
00045.c.clean,32,32,0.0,6.41
00046.c.clean,32,32,0.0,6.51
00047.c.clean,32,32,0.0,6.28
00048.c.clean,32,32,0.0,6.34
00049.c.clean,32,32,0.0,6.14
00050.c.clean,32,32,0.0,6.26
00051.c.clean,32,31,0.0,6.31
00052.c.clean,32,32,0.0,6.17
00053.c.clean,32,32,0.0,5.49
00054.c.clean,32,32,0.0,5.25
00055.c.clean,32,32,0.0,5.31
00057.c.clean,32,32,0.0,5.46
00058.c.clean,32,24,0.0,5.45
00059.c.clean,32,32,0.0,4.99
00060.c.clean,32,32,0.0,4.93
00061.c.clean,32,32,0.0,5.16
00062.c.clean,32,32,0.0,5.21
00063.c.clean,32,32,0.0,5.44
00064.c.clean,32,32,0.0,5.27
00065.c.clean,32,32,0.0,5.08
00066.c.clean,32,32,0.0,4.5
00067.c.clean,32,32,0.0,5.61
00068.c.clean,32,32,0.0,5.35
00069.c.clean,32,32,0.0,5.56
00070.c.clean,32,32,0.0,5.35
00071.c.clean,32,32,0.0,4.51
00072.c.clean,32,9,0.0,2.45
00073.c.clean,32,11,0.0,2.97
00074.c.clean,32,32,0.0,5.35
00075.c.clean,32,32,0.0,4.56
00076.c.clean,32,32,0.0,4.67
00077.c.clean,32,0,,0.94
00078.c.clean,32,32,0.0,5.42
00079.c.clean,32,32,0.0,5.44
00080.c.clean,32,32,0.0,5.36
00081.c.clean,32,32,0.0,5.49
00082.c.clean,32,32,0.0,5.59
00083.c.clean,32,32,0.0,5.39
00084.c.clean,32,32,0.0,5.66
00085.c.clean,32,32,0.0,4.29
00086.c.clean,32,32,0.0,5.62
00087.c.clean,32,32,0.0,5.31
00088.c.clean,32,0,,0.97
00089.c.clean,32,32,0.0,5.6
00090.c.clean,32,5,0.0,1.78
00091.c.clean,32,2,0.0,1.56
00092.c.clean,32,32,0.0,5.57
00093.c.clean,32,32,0.0,5.16
00094.c.clean,32,32,0.0,4.43
00095.c.clean,32,32,0.0,5.46
00096.c.clean,32,32,0.0,5.24
00097.c.clean,32,32,0.0,3.98
00098.c.clean,32,32,0.0,4.39
00099.c.clean,32,32,0.0,4.7
00100.c.clean,32,32,0.0,5.45
00101.c.clean,32,0,,25.13
00102.c.clean,32,8,0.0,2.43
00103.c.clean,32,32,0.0,5.23
00105.c.clean,32,32,0.0,5.28
00106.c.clean,32,32,0.0,5.29
00107.c.clean,32,32,0.0,5.33
00108.c.clean,32,32,0.0,4.62
00109.c.clean,32,32,0.0,5.64
00110.c.clean,32,32,0.0,4.35
00111.c.clean,32,32,0.0,5.49
00112.c.clean,32,0,,0.96
00113.c.clean,32,32,0.0,5.3
00114.c.clean,32,32,0.0,4.81
00115.c.clean,32,0,,0.94
00116.c.clean,32,32,0.0,5.39
00117.c.clean,32,0,,1.02
00118.c.clean,32,32,0.0,5.55
00119.c.clean,32,32,0.0,5.53
00120.c.clean,32,32,0.0,4.49
00121.c.clean,32,32,0.0,5.5
00122.c.clean,32,32,0.0,5.17
00123.c.clean,32,32,0.0,5.56
00124.c.clean,32,3,0.0,1.39
00126.c.clean,32,32,0.0,5.45
00127.c.clean,32,32,0.0,5.54
00128.c.clean,32,32,0.0,5.69
00130.c.clean,32,0,,1.18
00133.c.clean,32,32,0.0,6.08
00134.c.clean,32,1,0.0,1.31
00135.c.clean,32,32,0.0,5.62
00136.c.clean,32,32,0.0,5.44
00137.c.clean,32,32,0.0,5.67
00138.c.clean,32,21,0.0,5.23
00139.c.clean,32,32,0.0,5.23
00140.c.clean,32,32,0.0,5.5
00141.c.clean,32,32,0.0,5.18
00142.c.clean,32,32,0.0,4.78
00143.c.clean,32,9,0.0,3.63
00144.c.clean,32,0,,1.05
00145.c.clean,32,32,0.0,5.55
00146.c.clean,32,32,0.0,5.62
00147.c.clean,32,3,0.0,1.23
00148.c.clean,32,4,0.0,1.52
00149.c.clean,32,32,0.0,5.47
00150.c.clean,32,6,0.0,1.79
00151.c.clean,32,0,,0.88
00152.c.clean,32,32,0.0,5.25
00153.c.clean,32,32,0.0,5.54
00155.c.clean,32,0,,1.06
00209.c.clean,32,32,0.0,5.6
00211.c.clean,32,32,0.0,5.77
00214.c.clean,32,0,,1.07
00217.c.clean,32,3,0.0,5.39
00218.c.clean,32,0,,0.92
